ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
10,`,`,`,`,`,`,ランダムなクラスを獲得します。,真ん中,ネットワークエラー,すべてのパッシブ魔法,ハードモード,`,実験進捗度,希望のアーティファクトを選択してください,`,エピックアーティファクト,攻撃力増幅,増幅効果量
11,数十年間続いてきた魔法使いたちの戦争で乱用された、数多くの殺傷魔法…,`,`,`,`,`,研究資料,右,ネットワークが正常に感知されません。 @ 再度お試しするか、ネットワークに接続してください。,3番目の組み合わせでのみ使用可能,新しい難易度が解禁されました @ より強力な敵が押し寄せます。,`,獲得,獲得する,`,スペシャルアーティファクト,魔法の大きさ,回転速度
12,それらの魔法の残り滓が自然に住む精霊たちにしみこみ、あらゆる生命体を蝕む怪物を生みだした。,`,`,`,`,`,研究資料x10,ジョイスティックの大きさ,セーブ成功,強力な力を得られます。,ロード,`,研究完了,捨てる,`,レジェンドアーティファクト,魔法の持続時間,`
13,`,`,`,`,`,`,1回限定,小,データを正常にセーブしました。,シナジー,Googleクラウドに保存されたデータがある場合 @ ロード機能を使用してください。,`,クラス熟練度,捨てる,`,`,魔法クールタイム,`
14,`,`,`,`,`,`,購入完了,中,セーブ失敗,究極技,今すぐロード,`,保有魔法,特化選択,`,`,マナ獲得量,`
15,生もしくは死,`,`,`,`,`,クラス獲得,大,Googleプレイに接続できないため @ データのセーブに失敗しました｡,習得する,ゴールドで研究ポイントを購入し、ステータスを強化しましょう,`,保有アーティファクト,特性選択,`,`,命の玉の回復量,爆発ダメージ量
16,死ぬ,`,`,`,`,`,タップして続ける,Googleクラウド,ロード成功,条件に該当する魔法組み合わせを習得すると〈100〉レベルで活性化されます。,ジェムでクラスを購入して能力を強化しましょう,`,保有魔法,特性で魔法をさらに強化できます。 @ 好きな特性を選択してください。,`,`,アイテム獲得半径,爆発範囲(固定)
17,蘇生する,`,`,`,`,`,研究資料,SAVE,データを正常にロードしました。,戻る,能力を補助するさまざまな実験体を確認しましょう,`,保有アーティファクト,習得する,`,`,最大HP,`
18,`,`,`,`,`,`,残っている数量からランダムに選択され、<color=#FFEB9B>1/n</color>で計算されます。 @ 各クラスごとに獲得した数量分、リストから消えます。,LOAD,ロード失敗,魔法組み合わせを究極技として強化できます @ 上部ボタンをクリックして確認してください,下のボタンを押して進みましょう,`,クラス新設,キャンセル,`,`,魔法ダメージ,魔法ダメージ
19,リソースを読み込んでいます。,インターネット接続を確認してください。,`,`,`,`,購入確認,ゲームを終了する,Googleプレイに接続できないため @ データのロードに失敗しました｡,究極技アイコンをクリックして確認してください,`,`,一時停止,特性を習得できます。,`,`,敵の最大HP,`
20,ゲームを削除するとデータも消えます。,Google Play Games に接続できません。,`,`,`,`,`,ロード案内,ロード失敗,{魔法組み合わせ}を究極技として強化できます @ 条件に合う[実験体]と[学派]を選択して〈100〉レベルに到達してください,`,`,キャラクター情報,Master,`,`,`,`
21,オプションウィンドウでGoogleクラウドセーブ、ロード機能を活用してください。,ランキング情報を読み込めません。,`,`,`,`,`,本当にデータをロードしますか？,クラウドにセーブされたデータがありません。,解禁,`,`,魔法融合,使用不可,攻撃力、移動速度上昇,宝箱,`,`
22,`,`,`,`,`,`,`,以前の時点のデータが適用されます。,戻る,新たな{魔法組み合わせ}が解禁されました @ 1つの魔法を集中して強化できます。,`,`,使用不可,回避,無敵状態持続,遺物箱,`,`
23,マジックサバイバル,`,`,`,`,`,`,実行,ロード失敗,新たな{魔法組み合わせ}が解禁されました,`,`,習得する,秒,アイテム獲得半径上昇,ブラックボックス,`,`
24,`,`,`,`,`,`,`,保存時点,ネットワークが正常に感知されません。 @ ゲームを終了してから再起動してください。,ダメージ計算式,`,`,魔法融合,特性習得レベル,`,オベリスク,`,`
25,`,`,`,`,`,`,`,エフェクト透明度,手動保存データ,3つのステータスをバランスよく上げるほど効率が向上します。,`,`,条件に合った魔法を習得すると @ 〈25、50、75〉レベル到達時に魔法融合回数が得られます。,リロール,`,壊れたオベリスク,`,`
26,`,`,`,`,`,`,`,`,自動保存データ,`,`,`,戻る,使用可能回数： ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,条件に合った魔法を習得すると魔法融合ができます。 @ 上のボタンをクリックしてどんな組み合わせが @ あるのか確認しましょう。,習得しない。,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,購入する,強化する魔法を選択してください,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,選択肢を[再抽選]しますか？,購入する商品を選択してください,`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
