ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
10,볼텍스,조합,463 ,389 ,0 ,<color=#F5F5E1>,돌개바람이 캐릭터 근처에 생성되어 회전한다.,<color=#F5F5E1>,돌개바람의 크기가 점점 [축소]한다.,<color=#6EDCFF>,돌개바람 피해량 9배 증가,<color=#6EDCFF>,돌개바람 지속시간 9배 증가,<color=#6EDCFF>,돌개바람 쿨타임 50% 감소,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,다크니스,10,돌개바람이 간헐적으로 극대화된 형태로 통합되어 발현된다.,`,`
11,불의 숨결,조합,490 ,515 ,0 ,<color=#F5F5E1>,소각이 양옆으로 발사하는 대신 @ 캐릭터를 중심으로 [다섯 방향]으로 발사한다.,<color=#F5F5E1>,소각이 더 빠르고 멀리 생성된다.,<color=#6EDCFF>,소각 피해량 6배 증가,<color=#6EDCFF>,소각 개수 30% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,에테르 방화,조합,508 ,488 ,0 ,<color=#F5F5E1>,눈보라가 폭발할 때 마다 폭발이 〈2개〉로 갈라진다.,<color=#6EDCFF>,눈보라 피해량 8배 증가,<color=#6EDCFF>,눈보라 크기 20% 증가,<color=#6EDCFF>,눈보라 생성 간격 30% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
13,궤도 폭격,조합,417 ,507 ,0 ,<color=#F5F5E1>,낙뢰가 정해진 위치 근방에 빠르게 생성된다.,<color=#6EDCFF>,낙뢰 피해량 9배 증가,<color=#6EDCFF>,낙뢰 크기 30% 증가,<color=#FF6464>,낙뢰 쿨타임 30% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,30 ,220 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,9,1 ,0 ,1 ,0 ,1 ,0 ,익스터미네이션,0,`,`,`
14,중성자 발생,조합,462 ,391 ,0 ,<color=#F5F5E1>,돌개바람이 하나로 [통합]된다.,<color=#F5F5E1>,돌개바람이 투사체를 발사하지 않는 대신 @ 빠르게 크기를 [확장]하며 그 속도가 서서히 감소한다.,<color=#F5F5E1>,돌개바람 개수당 [크기]가 〈25%〉 증가한다.,<color=#6EDCFF>,돌개바람 피해량 10배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,오메가,10,"돌개바람 지속시간이 피해량으로 전환되며, 소멸과 동시에 폭발을 일으킨다.",`,`
15,겨울 폭풍,조합,506 ,372 ,0 ,<color=#F5F5E1>,눈보라 폭발이 [확장]한다.,<color=#6EDCFF>,눈보라 피해량 8배 증가,<color=#6EDCFF>,눈보라 크기 25% 증가,<color=#FF6464>,눈보라 개수 25% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,25 ,515 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
16,플라즈마 광선,조합,516 ,391 ,0 ,<color=#F5F5E1>,비전 광선이 〈4개〉로 [고정]되어 [영구 지속]되며 @ 쿨타임이 [4초]에서 [1초] 감소할 때마다 [광선]이 〈1〉 증가한다.,<color=#F5F5E1>,비전 광선 [크기]와 [지속시간]이 [피해량]으로 {전환}된다.,<color=#F5F5E1>,비전 광선이 〈0.25초〉 간격으로 피해를 준다.,<color=#6EDCFF>,비전 광선 개수당 피해량 배수 1 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,퀀텀 레이저,9,"비전 광선은 활성화된 광선 수에 비례해 위력이 증가하고, 더 빠르게 회전한다.",`,`
17,번개 작렬,조합,416 ,470 ,0 ,<color=#F5F5E1>,낙뢰가 무작위 위치에 〈5회〉 연속해서 생성된다.,<color=#F5F5E1>,낙뢰가 연속 생성할 때마다 [생성 반경]과 [개수]가 〈30%〉 증가한다.,<color=#6EDCFF>,낙뢰 피해량 12배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,12,1 ,0 ,1 ,0 ,1 ,0 ,데스 스톰,4,낙뢰의 연속 생성 횟수가 증가하며 더 빠르게 생성된다.,`,`
18,양자폭발,조합,409 ,35 ,0 ,<color=#F5F5E1>,보호막이 충전하는 대신 큰 폭발을 일으킨다.,<color=#F5F5E1>,보호막 최대 개수당 [피해량]과 [크기]가 〈33%〉 증가한다.,<color=#F5F5E1>,﻿[모든 마법 크기 증가율]에 비례해서 [피해량]이 증가한다.﻿,<color=#6EDCFF>,보호막 쿨타임 70% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,233 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
19,인페르노,조합,488 ,533 ,0 ,<color=#F5F5E1>,소각이 빠르게 생성되고 위력 [최대 배율]이 증가한다.,<color=#EB96FF>,"(최대 배율 : 피해량 x30, 크기 x2)",<color=#6EDCFF>,소각 쿨타임 25% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,472 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,인퀴지터,23,소각이 한순간에 폭발적으로 생성된다.,`,`
20,번개의 조율,조합,425 ,390 ,0 ,<color=#F5F5E1>,감전지대가 다수의 [투사체] 형태로 캐릭터 중심을 회전한다.,<color=#F5F5E1>,감전지대의 [피해 간격]이 사라지는 대신 [회전속도]가 증가한다.,<color=#6EDCFF>,감전지대 피해량 10배 증가,<color=#6EDCFF>,감전지대 크기 30% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,10,1 ,0 ,1 ,0 ,1 ,0 ,템페스터,0,감전지대가 더 많은 투사체를 생성하고 더 강해진다.,`,`
21,용광로,조합,535 ,443 ,0 ,<color=#F5F5E1>,용암지대가 서서히 크기를 [확장]한다.,<color=#F5F5E1>,용암지대의 크기에 비례하여 [피해량]이 증가한다.,<color=#6EDCFF>,용암지대 피해량 10배 증가,<color=#6EDCFF>,용암지대 지속시간 30% 증가,<color=#6EDCFF>,용암지대 쿨타임 30% 감소,<color=#FFFFFF>,`,585 ,30 ,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
22,전류폭주,조합,470 ,382 ,0 ,<color=#F5F5E1>,전기충격이 연쇄하지 않는 대신 〈3~7회〉 연속 생성된다.,<color=#F5F5E1>,전기충격 [사거리]가 증가한다.,<color=#6EDCFF>,전기충격 피해량 8배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
23,대홍수,조합,435 ,461 ,0 ,<color=#F5F5E1>,해일이 양옆에 추가로 〈2개씩〉 생성된다.,<color=#F5F5E1>,해일이 캐릭터의 후방에 일정하게 생성된다.,<color=#6EDCFF>,해일 피해량 8배 증가,<color=#FF6464>,해일 쿨타임 50% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,260 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,8,1 ,0 ,1 ,0 ,1 ,0 ,메가 쓰나미,17,해일이 넓은 반경에서 동시다발적으로 일어난다.,`,`
24,눈꽃 개화,조합,399 ,434 ,0 ,<color=#F5F5E1>,서릿발이 근방의 적에게 연속으로 〈24번〉 폭발하며 @ 폭발 횟수당 [피해량]과 [크기]가 〈2%〉 감소한다.,<color=#6EDCFF>,서릿발 피해량 24배 증가,<color=#6EDCFF>,서릿발 쿨타임 30% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,378 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,24,1 ,0 ,1 ,0 ,1 ,0 ,제로 노바,3,서릿발의 폭발이 빠른 속도로 대량 생성된다.,`,`
25,폭풍의 지배자,조합,461 ,366 ,0 ,<color=#F5F5E1>,돌개바람이 사방으로 〈3회〉 연속 생성된다.,<color=#F5F5E1>,돌개바람의 [이동속도]가 빨라지며 서서히 감소한다.,<color=#6EDCFF>,돌개바람 피해량 10배 증가,<color=#6EDCFF>,돌개바람 크기 20% 증가,<color=#FF6464>,돌개바람 지속시간 50% 감소,<color=#FFFFFF>,`,397 ,20 ,396 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
26,오버마인드,조합,31 ,526 ,0 ,<color=#F5F5E1>,[조합 마법]만 시전된다.,<color=#F5F5E1>,습득한 [액티브 마법] 레벨당 다음 능력치가 강화된다.,<color=#FF76DE>,공격력 1.5% 증폭,<color=#64FF32>,모든 마법 크기 0.5% 증가,<color=#64FF32>,모든 마법 쿨타임 0.3% 감소,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
27,무한동력,조합,524 ,31 ,0 ,<color=#F5F5E1>,마법진이 [영구 지속]된다.,<color=#F5F5E1>,마법진 지속시간 [3%] 당 [효과량]이 〈1%〉 증가한다.,<color=#F5F5E1>,마법진 쿨타임 감소율 [3%] 당 [효과량]이 〈1%〉 증가한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
28,창조의 문,조합,31 ,525 ,0 ,<color=#F5F5E1>,활성화 된 [마법 조합]당 [공격력]이 〈20%〉 {증폭}된다.,<color=#F5F5E1>,[마법 조합] 횟수가 〈2〉 증가한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,35 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
29,원점폭발,조합,499 ,373 ,0 ,<color=#F5F5E1>,에너지탄이 사방으로 퍼진 직후 즉시 [폭발]한다.,<color=#F5F5E1>,에너지탄 지속시간에 비례하여 [피해량]과 [개수]가 증가한다.,<color=#6EDCFF>,에너지탄 피해량 12배 증가,<color=#6EDCFF>,에너지탄 폭발 크기 50% 증가,<color=#FF6464>,에너지탄 쿨타임 75% 증가,<color=#FFFFFF>,`,494 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,12,1202 ,50,1 ,0 ,1 ,0 ,블리츠,13,에너지탄이 두 차례 연속으로 분열한다.,`,`
30,프리즘 난사,조합,515 ,366 ,0 ,<color=#F5F5E1>,비전 광선이 반대편에 생성되지 않는 대신 @ 〈5회〉 연속해서 무작위 방향으로 [동시에] 생성된다.,<color=#F5F5E1>,비전 광선 [지속시간]이 [피해량]으로 {전환}된다.,<color=#6EDCFF>,비전 광선 피해량 7배 증가,<color=#6EDCFF>,비전 광선 쿨타임 25% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,542 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
31,대균열,조합,400 ,443 ,0 ,<color=#F5F5E1>,서릿발에 피격된 적들이 모두 [넉백]된다.,<color=#F5F5E1>,서릿발 크기에 비례해서 [피해량]이 증가한다.,<color=#6EDCFF>,서릿발 피해량 10배 증가,<color=#6EDCFF>,서릿발 크기 50% 증가,<color=#FF6464>,서릿발 쿨타임 50% 증가,<color=#FFFFFF>,`,375 ,50 ,379 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
32,히페리온,조합,391 ,445 ,0 ,<color=#F5F5E1>,"통합된 위성이 반대편에 추가로 생성되며, @ 이 위성의 [피해량]은 【20%】 낮지만 첫 타에 {빙결}을 발생시킨다.",<color=#F5F5E1>,위성 크기에 비례해서 [피해량]이 증가한다.,<color=#6EDCFF>,위성 피해량 배수 50% 증가,<color=#6EDCFF>,위성 회전속도 50% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,311 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,아바돈,2,위성이 하나의 태양으로 융합되어 필드 전역의 적에게 33%의 피해를 준다.,`,`
33,아바타,조합,367 ,380 ,0 ,<color=#F5F5E1>,마력탄을 발사하는 [환영]을 추가로 〈3개〉 소환한다.,<color=#F5F5E1>,마력탄 개수가 [1]로 고정된다.,<color=#F5F5E1>,마력탄 개수당 [피해량]이 〈33%〉 증가한다.,<color=#6EDCFF>,마력탄 피해량 9.99배 증가,<color=#6EDCFF>,마력탄 쿨타임 33% 감소,<color=#FFFFFF>,`,158 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,999,1 ,0 ,1 ,0 ,1 ,0 ,이퀼리브리엄,1,도플갱어의 분신이 3개 추가로 생성된다.,`,`
34,번개의 심장,조합,470 ,497 ,0 ,<color=#F5F5E1>,전기충격이 연쇄할 때마다 투사체가 〈2개〉로 갈라지고 @ [피해량]과 [크기]가 【20%】 감소한다.,<color=#F5F5E1>,전기충격의 [연쇄 속도]가 빨라진다.,<color=#6EDCFF>,전기충격 피해량 8배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8 ,1 ,0 ,1 ,0 ,1 ,0 ,아크,12,전기충격이 강화되어 연쇄시 투사체가 갈라지지 않지만 위력이 손실되지 않는다.,`,`
35,대충돌,조합,445 ,507 ,0 ,<color=#F5F5E1>,운석 낙하가 연속으로 〈3회〉 생성되며 @ 첫번째 운석의 [위력]이 〈50%〉 증가한다.,<color=#6EDCFF>,운석 낙하 피해량 12배 증가,<color=#6EDCFF>,운석 낙하 쿨타임 30% 감소,<color=#FF6464>,운석 낙하 크기 30% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,327 ,30 ,325 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,12,1 ,0 ,1 ,0 ,1 ,0 ,자이언트 임팩트,5,운석 낙하가 하나로 통합되어 폭발과 함께 근방의 모든 적을 기절시킨다.,`,`
36,얼음의 심장,조합,427 ,399 ,0 ,<color=#F5F5E1>,감전지대가 짧은 시간 동안 적을 [빙결]시킨다.,<color=#F5F5E1>,감전지대가 발동할 때마다 [피해량]과 [크기] 배수가 〈1〉 증가하며 @ 발동 횟수 중첩이 〈4번〉 에서 [초기화]된다.,<color=#6EDCFF>,감전지대 피해량 20배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,20,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
37,마이스너 효과,조합,426 ,472 ,0 ,<color=#F5F5E1>,《EMP》의 기절 효과 발동시 대상을 [넉백]시키고 〈10배〉의 {추가 피해}를 준다.,<color=#6EDCFF>,감전지대 피해량 6배 증가,<color=#6EDCFF>,감전지대 크기 100% 증가,<color=#FF76DE>,공격력 25% 증폭,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,100 ,16 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,락다운,16,"감전지대가 파동으로 생성되며, 쿨타임에 비례하여 주기가 빨라진다.",`,`
38,에너지 포화,조합,516 ,543 ,0 ,<color=#F5F5E1>,비전 광선이 무작위 방향으로 동시에 생성된다.,<color=#F5F5E1>,비전 광선이 더 이상 회전하지 않는다.,<color=#6EDCFF>,비전 광선 피해량 20배 증가,<color=#6EDCFF>,비전 광선 크기 5배 증가,<color=#FF6464>,비전 광선 지속시간 75% 감소,<color=#FFFFFF>,`,538 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,20,1239 ,5,1 ,0 ,1 ,0 ,`,0,`,`,`
39,슈퍼태풍,조합,461 ,427 ,0 ,<color=#F5F5E1>,돌개바람이 하나로 [통합]된다.,<color=#F5F5E1>,돌개바람이 캐릭터 중심을 따라 존속하며 @ 존속 시간에 비례하여 [피해량 배수]가 증가한다.,<color=#F5F5E1>,돌개바람 지속시간이 끝난 뒤 [쿨타임]이 돌아간다.,<color=#F5F5E1>,돌개바람 개수당 [크기]가 〈20%〉 증가한다.,<color=#EB96FF>,돌개바람 지속시간 & 쿨타임 100% 증가,<color=#FFFFFF>,`,395 ,100 ,407 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1112 ,100,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
40,텔레포트,조합,453 ,36 ,0 ,<color=#F5F5E1>,유체화를 〈7회〉 연속 시전하여 무작위 위치로 이동하고 @ 마지막에는 원래 위치로 복귀한다.,<color=#F5F5E1>,유체화 지속시간에 비례해서 [시전 횟수]와 [피해량 배수]가 증가한다.,<color=#6EDCFF>,유체화 피해량 3배 증가,<color=#6EDCFF>,유체화 쿨타임 70% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,356 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1062 ,3 ,1 ,0 ,1 ,0 ,1 ,0 ,할루시네이션,25,유체화의 폭발이 5회 연쇄 발동된다.,`,`
41,화염 폭풍,조합,443 ,490 ,0 ,<color=#F5F5E1>,운석 낙하의 분화구가 더 이상 피해를 주지 않는다.,<color=#F5F5E1>,"운석 낙하가 캐릭터를 중심으로 [다섯 방향]으로 일렬로 생성되며 @ 크기가 전환되어 {33%}, {66%}, {99%}에 도달할 때 마다 @ [생성 방향] 〈1〉, [피해량 배수] 〈5〉 만큼 증가한다.",<color=#6EDCFF>,운석 낙하 피해량 10배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,10,1 ,0 ,1 ,0 ,1 ,0 ,볼케이노,0,`,`,`
42,불꽃놀이,조합,363 ,499 ,0 ,<color=#F5F5E1>,마력탄이 무작위 지점에서 폭발한다.,<color=#F5F5E1>,마력탄 폭발이 [확장]하면서 〈1~9배〉의 위력을 낸다.,<color=#6EDCFF>,마력탄 피해량 5배 증가,<color=#6EDCFF>,마력탄 크기 50% 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,162 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,5,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
43,마력의 창,조합,380 ,542 ,0 ,<color=#F5F5E1>,정령 [쿨타임]과 [발사 간격]이 기본 적용으로 바뀐다.,<color=#F5F5E1>,정령 [투사체 속도]와 [사거리]가 비약적으로 증가한다.,<color=#6EDCFF>,정령 피해량 10배 증가,<color=#6EDCFF>,정령 크기 200% 증가,<color=#FF6464>,정령 쿨타임 2배 증가,<color=#FFFFFF>,`,276 ,200 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,10,982 ,2,1 ,0 ,1 ,0 ,`,0,`,`,`
