ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
10,`,`,`,`,`,`,무작위 학파를 획득합니다.,중앙,네트워크 에러,모든 패시브 마법,하드 모드,`,실험 진척도,원하는 아티팩트를 선택하세요,`,영웅 아티팩트,공격력 증폭,증폭 효과량
11,수십년동안 이어져온 마법사들의 전쟁으로 인해 남발된 수많은 살상마법들…,`,`,`,`,`,연구자료,우측,네트워크가 제대로 감지되지 않습니다. @ 다시 시도하거나 네트워크를 연결해주세요,3번째 조합에서만 가능,신규 난이도가 해금되었습니다. @ 더욱 강력한 적들이 몰려옵니다.,`,획득,획득한다,`,특수 아티팩트,모든 마법 크기,회전속도
12,그 마법의 잔재가 자연에 머물던 정령들에게 스며들어 모든 생명체를 갉아먹는 아귀가 되었다.,`,`,`,`,`,연구자료 x10,조이스틱 크기,저장 성공,강력한 힘을 얻게됩니다.,불러오기,`,연구완료,버린다,`,전설 아티팩트,모든 마법 지속시간,`
13,`,`,`,`,`,`,1회 한정,소,데이터를 정상적으로 저장했습니다.,시너지,구글 클라우드에 저장된 데이터가 있다면 @ 불러오기 기능을 사용해 주세요.,`,학파 숙련도,버린다,`,`,모든 마법 쿨타임,`
14,`,`,`,`,`,`,구매완료,중,저장 실패,궁극기,지금 불러오기,`,보유 마법,특화 선택,`,`,마나 획득량,`
15,삶 혹은 죽음,`,`,`,`,`,학파 획득,대,구글 플레이 접속이 되지 않아 @ 데이터를 저장하는데 실패했습니다.,습득한다,골드로 연구 포인트를 구매하고 스탯을 강화하세요,`,보유 아티팩트,특성 선택,`,`,생명의 구슬 회복량,폭발 피해량
16,죽는다,`,`,`,`,`,탭하여 계속하기,구글 클라우드,불러오기 성공,조건에 해당하는 마법 조합을 배우면 〈100〉 레벨에 활성화 됩니다.,보석으로 학파를 구매하여 능력을 강화하세요,`,보유 마법,특성을 통해 마법을 한층 더 강화시킬 수 있습니다. @ 원하는 특성을 선택하세요,`,`,아이템 획득반경,폭발범위 (고정)
17,소생한다,`,`,`,`,`,연구자료,SAVE,데이터를 정상적으로 불러왔습니다.,돌아간다,능력을 보조하는 다양한 실험체를 확인하세요,`,보유 아티팩트,습득한다,`,`,최대 체력,`
18,`,`,`,`,`,`,남아있는 수량에서 무작위로 선택되며 <color=#FFEB9B>1/n</color> 로 계산됩니다. @ 각 학파마다 획득한 수량만큼 목록에서 제거됩니다.,LOAD,불러오기 실패,마법 조합을 궁극기로 강화 시킬 수 있습니다 @ 상단 버튼을 클릭하여 확인하세요,하단 버튼을 눌러 진행하세요,`,학파 신설,취소,`,`,모든 마법 피해량,마법 피해량
19,리소스를 불러오는 중입니다.,인터넷 연결을 확인해주세요,`,`,`,`,구매 확인,게임을 종료한다.,구글 플레이 접속이 되지 않아 @ 데이터를 불러오는데 실패했습니다.,궁극기 아이콘을 클릭하여 확인하세요,`,`,일시정지,특성을 습득할 수 있습니다.,`,`,적 최대 체력,`
20,게임을 삭제하면 데이터도 제거됩니다.,Google Play Games에 연결할 수 없습니다.,`,`,`,`,`,불러오기 안내,불러오기 실패,{마법 조합}을 궁극기로 강화 시킬 수 있습니다 @ 조건에 맞는 [실험체]와 [학파]를 선택하여 〈100〉 레벨에 도달하세요,`,`,캐릭터 정보,Master,`,`,`,`
21,"옵션창의 구글 클라우드 저장,불러오기 기능을 활용해주세요",순위 정보를 불러올 수 없습니다.,`,`,`,`,`,정말로 데이터를 불러오시겠습니까?,클라우드에 저장된 데이터가 없습니다.,해금,`,`,마법 조합,사용불가,"공격력, 이동속도 상승",보물상자,`,`
22,`,`,`,`,`,`,`,이전 시점의 데이터가 적용됩니다.,돌아가기,새로운 {마법 조합}이 해금되었습니다. @ 한 가지 마법을 집중해서 강화시키킬 수 있습니다.,`,`,사용불가,회피,무적 상태 지속,유물함,`,`
23,매직서바이벌,`,`,`,`,`,`,실행,불러오기 실패,새로운 {마법 조합}이 해금되었습니다.,`,`,습득한다,초,아이템 획득 반경 상승,검은상자,`,`
24,`,`,`,`,`,`,`,저장 시점,네트워크가 제대로 감지되지 않습니다. @ 게임을 종료하고 다시 실행해주세요,피해량 공식,`,`,마법 조합,특성 습득 레벨,`,오벨리스크,`,`
25,`,`,`,`,`,`,`,이펙트 투명도,수동 저장 데이터,세 스탯을 균형 있게 올릴수록 효율이 증가합니다.,`,`,"조건에 해당하는 마법을 배우면 @ 〈25, 50, 75〉 레벨마다 마법 조합 횟수가 주어집니다.",재굴림,`,부서진 오벨리스크,`,`
26,`,`,`,`,`,`,`,`,자동 저장 데이터,`,`,`,돌아간다,사용가능 횟수 : ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,조건에 해당하는 마법을 배우면 마법 조합을 할 수 있습니다. @ 상단 버튼을 클릭하여 어떤 조합이 있는지 확인하세요,습득하지 않는다.,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,구매한다,강화할 마법을 선택하세요,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,[재굴림]하여 선택지를 바꾸시겠습니까?,구매할 상품을 선택하세요,`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
