ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
13,Орбитальная бомбардировка,조합,417 ,507 ,0 ,<color=#F5F5E1>,Молния быстро генерируется рядом с указанным местом.,<color=#6EDCFF>,Урон молний х9,<color=#6EDCFF>,Размер удара молнии увеличен на 30%.,<color=#FF6464>,Время восстановления молнии увеличено на 30%.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,30 ,220 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,9,1 ,0 ,1 ,0 ,1 ,0 ,익스터미네이션,0,`,`,`
14,Генерация нейтронов,조합,462 ,391 ,0 ,<color=#F5F5E1>,Вихри [объединяются] в один.,<color=#F5F5E1>,"Вихри не выстреливают зарядами, зато быстро [расширяются]; @ скорость при этом постепенно снижается.",<color=#F5F5E1>,[Размер] вихря увеличивается на 〈25%〉 за каждый вихрь.,<color=#6EDCFF>,Урон вихря х10,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,Омега,10,"Длительность Вихря преобразуется в урон, и при исчезновении происходит взрыв.",`,`
15,Зимний шторм,조합,506 ,372 ,0 ,<color=#F5F5E1>,Взрывы метели [расширяются].,<color=#6EDCFF>,Урон метели х8,<color=#6EDCFF>,Размер метели +25%,<color=#FF6464>,Число метелей -25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,25 ,515 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
16,Плазменный луч,조합,516 ,391 ,0 ,<color=#F5F5E1>,Таинственный луч [фиксируется] в количестве 〈4〉 и действует [постоянно]; за каждые 〈1 сек.〉 уменьшения [времени перезарядки] от [4 сек.] добавляется 〈1〉 [луч].,<color=#F5F5E1>,[Размер] и [длительность] Таинственного луча {преобразуются} в [урон].,<color=#F5F5E1>,Таинственный луч наносит урон каждые 〈0.25 сек.〉,<color=#6EDCFF>,[Множитель урона] увеличивается на 1 за каждый Таинственный луч.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Квантовый лазер,9,Таинственный луч увеличивает мощь и вращается быстрее пропорционально количеству активных лучей.,`,`
17,Взрыв молний,조합,416 ,470 ,0 ,<color=#F5F5E1>,〈5〉 молний подряд появляются в случайных местах.,<color=#F5F5E1>,При каждом последующем появлении молнии их [радиус создания] и [количество] увеличиваются на 〈30%〉.,<color=#6EDCFF>,Урон молний х12,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Дес Шторм,4,"Количество последовательных созданий Молнии увеличивается, и она создаётся быстрее.",`,`
18,Квантовый взрыв,조합,409 ,35 ,0 ,<color=#F5F5E1>,Вместо зарядки щита происходит мощный взрыв.,<color=#F5F5E1>,[Урон] и [размер] Щитов 〈+33%〉 за каждый Щит,<color=#F5F5E1>,﻿[Урон] увеличивается в соответствии с [показателем увеличения размера всех заклинаний].﻿,<color=#6EDCFF>,Время перезарядки щита -70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,233 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
19,Инферно,조합,488 ,533 ,0 ,<color=#F5F5E1>,"Испепеление создаётся быстрее, [максимальный множитель] урона увеличивается.",<color=#EB96FF>,"(Максимальный множитель: урон x30, размер x2)",<color=#6EDCFF>,Время перезарядки испепеления -25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,472 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Инквизитор,23,Испепеление создаётся мгновенно и в большом количестве.,`,`
20,Отладка молний,조합,425 ,390 ,0 ,<color=#F5F5E1>,Область электротока в форме [зарядов] окружает персонажа.,<color=#F5F5E1>,"У области электротока пропадает [интервал урона], но повышается [скорость вращения].",<color=#6EDCFF>,Урон области электротока х10,<color=#6EDCFF>,Размер области электротока +30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,10,1 ,0 ,1 ,0 ,1 ,0 ,템페스터,0,감전지대가 더 많은 투사체를 생성하고 더 강해진다.,`,`
21,Доменная печь,조합,535 ,443 ,0 ,<color=#F5F5E1>,Лавовая область постепенно [увеличивается] в размере.,<color=#F5F5E1>,[Урон] увеличивается пропорционально размеру лавовой области.,<color=#6EDCFF>,Урон лавовой области х10,<color=#6EDCFF>,Время действия лавовой области +30%,<color=#6EDCFF>,Время перезарядки лавовой области -30%,<color=#FFFFFF>,`,585 ,30 ,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
22,Буйство электричества,조합,470 ,382 ,0 ,<color=#F5F5E1>,"Электрические удары не создают цепочку, но зато происходят 〈3–7 раз〉 подряд.",<color=#F5F5E1>,Увеличивается [дальность] электрических ударов.,<color=#6EDCFF>,Урон электрических ударов х8,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
23,Потоп,조합,435 ,461 ,0 ,<color=#F5F5E1>,Появляется еще 〈2〉 цунами по бокам.,<color=#F5F5E1>,Цунами регулярно создаются за спиной у персонажа.,<color=#6EDCFF>,Урон цунами х8,<color=#FF6464>,Время перезарядки цунами +50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,260 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,8,1 ,0 ,1 ,0 ,1 ,0 ,Мега-цунами,17,Цунами возникает одновременно на широкой площади.,`,`
24,Снежное цветение,조합,399 ,434 ,0 ,<color=#F5F5E1>,"Ледяные иглы взрываются рядом с врагами 〈24 раза〉 подряд, при каждом взрыве [урон] и [размер] уменьшаются на 〈2%〉.",<color=#6EDCFF>,Урон ледяных игл х24,<color=#6EDCFF>,Время перезарядки ледяных игл -30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,378 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,24,1 ,0 ,1 ,0 ,1 ,0 ,Нулевая нова,3,Взрывы Ледяных игл создаются быстро и в большом количестве.,`,`
25,Повелитель тайфуна,조합,461 ,366 ,0 ,<color=#F5F5E1>,Вихри появляются в четырех направлениях 〈3 раза〉 подряд.,<color=#F5F5E1>,"[Скорость перемещения] сначала повышается, а затем постепенно снижается.",<color=#6EDCFF>,Урон вихря х10,<color=#6EDCFF>,Размер вихря +20%,<color=#FF6464>,Продолжительность вихря -50%,<color=#FFFFFF>,`,397 ,20 ,396 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
26,Сверхразум,조합,31 ,526 ,0 ,<color=#F5F5E1>,Применяются только [комбинированные заклинания].,<color=#F5F5E1>,За каждый уровень полученного [активного заклинания] улучшаются следующие характеристики.,<color=#FF76DE>,"Приумножение атаки на 1,5%",<color=#64FF32>,"Размер всех заклинаний +0,5%",<color=#64FF32>,"Время перезарядки всех заклинаний -0,3%",<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
27,Безграничная энергия,조합,524 ,31 ,0 ,<color=#F5F5E1>,Магический круг становится [постоянным].,<color=#F5F5E1>,[Эффективность] магического круга повышается на 〈1%〉 за каждый [3%] времени действия круга.,<color=#F5F5E1>,[Эффективность] магического круга повышается на 〈1%〉 за каждый [3%] показателя сокращения времени перезарядки круга.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
28,Врата созидания,조합,31 ,525 ,0 ,<color=#F5F5E1>,За каждую активированную [Комбинированную магию] [Атака] {Усиливается} на 〈20%〉.,<color=#F5F5E1>,Число [комбинаций заклинаний] увеличивается на 〈2〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,35 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
29,Отправной взрыв,조합,499 ,373 ,0 ,<color=#F5F5E1>,Энергетическая пуля [взрывается] сразу после распространения во все стороны.,<color=#F5F5E1>,[Урон] и [количество] Энергетической пули увеличиваются пропорционально длительности.,<color=#6EDCFF>,Урон энергетических пуль х12,<color=#6EDCFF>,Размер взрывов энергетических пуль +50%,<color=#FF6464>,Время перезарядки Энергетической пули +75%,<color=#FFFFFF>,`,494 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,12,1202 ,50,1 ,0 ,1 ,0 ,Блиц,13,Энергетическая пуля разделяется 2 раза подряд.,`,`
30,Призменная лихорадка,조합,515 ,366 ,0 ,<color=#F5F5E1>,"На противоположной стороне не создаются таинственные лучи, @ вместо этого они возникают [единовременно] в хаотичных направлениях, и это повторяется 〈5 раз〉 подряд.",<color=#F5F5E1>,[Время действия] таинственных лучей {конвертируется} в [урон].,<color=#6EDCFF>,Урон таинственных лучей х7,<color=#6EDCFF>,Время перезарядки таинственных лучей -25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,542 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
31,Большой разлом,조합,400 ,443 ,0 ,<color=#F5F5E1>,"Враги, поражённые Ледяными иглами, [отталкиваются].",<color=#F5F5E1>,[Урон] Ледяных игл увеличивается пропорционально их [размеру].,<color=#6EDCFF>,Урон ледяных игл х10,<color=#6EDCFF>,Размер ледяных игл +50%,<color=#FF6464>,Время перезарядки ледяных игл +50%,<color=#FFFFFF>,`,375 ,50 ,379 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
32,Гиперион,조합,391 ,445 ,0 ,<color=#F5F5E1>,"Объединённый Спутник дополнительно создаётся с противоположной стороны; его [урон] на 【20%】 ниже, но при первом попадании вызывает {заморозку}.",<color=#F5F5E1>,[Урон] Спутника увеличивается пропорционально его размеру.,<color=#6EDCFF>,Множитель урона Спутника +50%,<color=#6EDCFF>,Скорость вращения спутников +50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,311 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Абаддон,2,Спутники сливаются в одно Солнце и наносят 33% урона всем врагам на поле.,`,`
33,Аватар,조합,367 ,380 ,0 ,<color=#F5F5E1>,"Призывает 〈3〉 дополнительных [фантома], которые стреляют магическими пулями.",<color=#F5F5E1>,Число магических пуль фиксируется на [1].,<color=#F5F5E1>,[Урон] увеличивается на 〈33%〉 за каждую магическую пулю.,<color=#6EDCFF>,"Урон магических пуль х9,99",<color=#6EDCFF>,Время перезарядки магических пуль -33%,<color=#FFFFFF>,`,158 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,999,1 ,0 ,1 ,0 ,1 ,0 ,Эквилибриум,1,Создаётся дополнительно 3 двойника Доппельгангера.,`,`
34,Сердце грозы,조합,470 ,497 ,0 ,<color=#F5F5E1>,"При каждом сцеплении электрических ударов заряд разделяется на 〈2〉, @ а [урон] и [размер] сокращаются на 【20%】.",<color=#F5F5E1>,[Сцепление] электрических ударов происходит быстрее.,<color=#6EDCFF>,Урон электрических ударов х8,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8 ,1 ,0 ,1 ,0 ,1 ,0 ,Арка,12,"Электрический удар усиливается — при цепной реакции снаряды не разделяются, но мощность не теряется.",`,`
35,Великое столкновение,조합,445 ,507 ,0 ,<color=#F5F5E1>,"Падение метеоритов происходит 〈3 раза〉 подряд, при этом [мощность] первого метеорита увеличивается на 〈50%〉.",<color=#6EDCFF>,Урон метеоритов х12,<color=#6EDCFF>,Время перезарядки метеоритов -30%,<color=#FF6464>,Размер метеоритов -30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,327 ,30 ,325 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Гигантский удар,5,Падение метеоритов объединяется в одно и при взрыве оглушает всех врагов поблизости.,`,`
36,Ледяное сердце,조합,427 ,399 ,0 ,<color=#F5F5E1>,Область электротока на короткое время [замораживает] врагов.,<color=#F5F5E1>,"Область электротока: [урон] и [размер] увеличиваются на 〈1〉 при каждом срабатывании, сброс на 〈4〉 срабатывания.",<color=#6EDCFF>,Урон области электротока х20,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,20,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
37,Эффект Мейснера,조합,426 ,472 ,0 ,<color=#F5F5E1>,При активации оглушения 《ЭМИ》 жертва [отбрасывается] и получает 〈10-кратный〉 {дополнительный урон}.,<color=#6EDCFF>,Урон области электротока х6,<color=#6EDCFF>,Размер области электротока +100%,<color=#FF76DE>,Приумножение атаки на 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,100 ,16 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Локдаун,16,"Область электротока создаётся в виде волн, а интервал срабатывания ускоряется пропорционально [перезарядке].",`,`
38,Энергетическая насыщенность,조합,516 ,543 ,0 ,<color=#F5F5E1>,Таинственные лучи создаются единовременно в хаотичных направлениях.,<color=#F5F5E1>,Таинственные лучи больше не вращаются.,<color=#6EDCFF>,Урон таинственных лучей х20,<color=#6EDCFF>,Размер таинственных лучей х5,<color=#FF6464>,Время действия таинственных лучей -75%,<color=#FFFFFF>,`,538 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,20,1239 ,5,1 ,0 ,1 ,0 ,`,0,`,`,`
39,Супертайфун,조합,461 ,427 ,0 ,<color=#F5F5E1>,Вихри [объединяются] в один.,<color=#F5F5E1>,"Вихрь закрепляется за персонажем, и [множитель урона] @ увеличивается пропорционально времени следования за персонажем.",<color=#F5F5E1>,"Когда действие вихря заканчивается, начинается [перезарядка].",<color=#F5F5E1>,[Размер] вихрей увеличивается на 〈20%〉 за каждый вихрь.,<color=#EB96FF>,Продолжительность вихря и время перезарядки +100%,<color=#FFFFFF>,`,395 ,100 ,407 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1112 ,100,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
40,Телепорт,조합,453 ,36 ,0 ,<color=#F5F5E1>,"Маскировка применяется 〈7 раз〉 подряд, телепортируя в случайные позиции и в конце возвращая на исходную точку.",<color=#F5F5E1>,[Количество применений] и [множитель урона] маскировки увеличиваются пропорционально длительности.,<color=#6EDCFF>,Урон Маскировка х3,<color=#6EDCFF>,Время перезарядки маскировки -70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,356 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1062 ,3 ,1 ,0 ,1 ,0 ,1 ,0 ,Галлюцинация,25,Взрыв Трансформации срабатывает 5 раз подряд.,`,`
41,Пламенный шторм,조합,443 ,490 ,0 ,<color=#F5F5E1>,Кратеры от Падения метеоритов больше не наносят урон.,<color=#F5F5E1>,"Падение метеоритов создаётся по [пяти направлениям] от персонажа, выстраиваясь в линию; при достижении {33%}, {66%}, {99%} размера [направление] увеличивается на 〈1〉, [множитель урона] — на 〈5〉.",<color=#6EDCFF>,Урон метеоритов х10,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,10,1 ,0 ,1 ,0 ,1 ,0 ,볼케이노,0,`,`,`
42,Фейерверк,조합,363 ,499 ,0 ,<color=#F5F5E1>,Магическая пуля взрывается в случайных точках.,<color=#F5F5E1>,Взрыв Магической пули [расширяется] и наносит урон от 〈x1〉 до 〈x9〉.,<color=#6EDCFF>,Урон магических пуль х5,<color=#6EDCFF>,Размер Магической пули +50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,162 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,5,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
43,Магическое копье,조합,380 ,542 ,0 ,<color=#F5F5E1>,Возвращаются стандартные [время перезарядки] и [интервал стрельбы] духов.,<color=#F5F5E1>,[Скорость зарядов] и [дальность стрельбы] духов значительно увеличиваются.,<color=#6EDCFF>,Урон духов х10,<color=#6EDCFF>,Размер духов +200%,<color=#FF6464>,Время перезарядки духов х2,<color=#FFFFFF>,`,276 ,200 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,10,982 ,2,1 ,0 ,1 ,0 ,`,0,`,`,`
44,Ворота,조합,543 ,380 ,0 ,<color=#F5F5E1>,[Темп увеличения размера] Световой вспышки {преобразуется} в [урон].,<color=#6EDCFF>,Урон световых вспышек х12,<color=#6EDCFF>,Число  световых вспышек х6,<color=#6EDCFF>,Время перезарядки световых вспышек -50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,12,1304 ,6,1 ,0 ,1 ,0 ,Асенсия,22,Световая вспышка создаётся без ограничений и ускоряется пропорционально перезарядке и количеству.,`,`
