ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
10,Druida,학파,0 ,<color=#EBEBEB>,"〔Ciclone Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Ciclone aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Ciclone Lv +1,<color=#6EDCFF>,Reduza a recarga de Ciclone em 20%,<color=#6EDCFF>,Aumente o número de Ciclones em 1,<color=#FF76DE>,Aumente o dano de Ciclone em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,1 ,0 ,1 ,0 ,-12 ,1 ,406 ,20 ,393 ,1 ,391 ,20 ,1 ,0 ,1 ,0 ,`,`
11,Piromante,학파,0 ,<color=#EBEBEB>,"〔Bola de Fogo Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Bola de Fogo aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Bola de Fogo Lv +1,<color=#6EDCFF>,Reduza a recarga de Bola de Fogo em 20%,<color=#6EDCFF>,Aumente o número de Bolas de Fogo em 1,<color=#FF76DE>,Aumente o dano de Bola de Fogo em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,1 ,0 ,1 ,0 ,-2 ,1 ,194 ,20 ,184 ,1 ,181 ,20 ,1 ,0 ,1 ,0 ,`,`
12,Feiticeiro,학파,0 ,<color=#EBEBEB>,"〔Choque Elétrico Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Choque Elétrico aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Choque Elétrico Lv +1,<color=#6EDCFF>,Reduza a recarga de Choque Elétrico em 20%,<color=#6EDCFF>,Aumente o número de Choques Elétricos em 35%,<color=#FF76DE>,Aumente o dano de Choque Elétrico em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,1 ,0 ,1 ,0 ,-13 ,1 ,431 ,20 ,426 ,35 ,421 ,20 ,1 ,0 ,1 ,0 ,`,`
13,Alquimista,학파,0 ,<color=#EBEBEB>,"〔Raio de Energia Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Raio de Energia aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Raio de Energia Lv +1,<color=#6EDCFF>,Reduza a recarga de Raio de Energia em 20%,<color=#6EDCFF>,Aumente o número de Raios de Energia em 35%,<color=#FF76DE>,Aumente o dano de Raio de Energia em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16 ,1 ,1 ,0 ,1 ,0 ,-16 ,1 ,493 ,20 ,486 ,35 ,481 ,20 ,1 ,0 ,1 ,0 ,`,`
14,Acadêmico,학파,0 ,<color=#EBEBEB>,"〔Começar no Nível 3〕 @ Para cada [1] nível de personagem, o dano de todas as magias aumenta em 〈1%〉",<color=#EB96FF>,Médico Lv +1,<color=#EBEBEB>,Recupere 〈30%〉 a mais de mana ao recuperar mana.,<color=#EBEBEB>,〈50%〉 de chance aumentada de ter [4] escolhas mágicas.,<color=#FF76DE>,Aumente a aquisição de mana em 5% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,1 ,0 ,1 ,0 ,-316 ,1 ,61 ,30 ,58 ,50 ,38 ,5 ,1 ,0 ,1 ,0 ,`,`
15,Bruxa,학파,0 ,<color=#EBEBEB>,"〔Zona de Lava Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Zona de Lava aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Zona de Lava Lv +1,<color=#6EDCFF>,Reduza a recarga de Zona de Lava em 20%,<color=#6EDCFF>,Aumente o número de Zonas de Lava em 1,<color=#FF76DE>,Aumente o dano de Zona de Lava em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20 ,1 ,1 ,0 ,1 ,0 ,-20 ,1 ,590 ,20 ,583 ,1 ,581 ,20 ,1 ,0 ,1 ,0 ,`,`
16,Eletromante,학파,0 ,<color=#EBEBEB>,"〔Zona Elétrica Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Zona Elétrica aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Zona Elétrica Lv +1,<color=#6EDCFF>,Reduza o intervalo de dano de Zona Elétrica em 20%,<color=#6EDCFF>,Aumente o tamanho de Zona Elétrica em 25%,<color=#FF76DE>,Aumente o dano de Zona Elétrica em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,1 ,0 ,1 ,0 ,-8 ,1 ,296 ,20 ,293 ,25 ,291 ,20 ,1 ,0 ,1 ,0 ,`,`
17,Árbitro,학파,0 ,<color=#EBEBEB>,"〔Tsunami Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Tsunami aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Tsunami Lv +1,<color=#6EDCFF>,Reduza a recarga de Tsunami em 20%,<color=#6EDCFF>,Aumente o número de Tsunamis em 35%,<color=#FF76DE>,Aumente o dano de Tsunami em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,1 ,0 ,1 ,0 ,-9 ,1 ,259 ,20 ,254 ,35 ,251 ,20 ,1 ,0 ,1 ,0 ,`,`
18,Arquimago,학파,0 ,<color=#EBEBEB>,〔Começar no Nível 3〕 @ Dano de [Magia Combinada] aumenta em 〈50%〉,<color=#32FFE1>,Círculo Mágico Lv +1,<color=#EB96FF>,Lançamento Silencioso Lv +1,<color=#EBEBEB>,Aumente todo o dano de [Combinação Mágica] em 〈50%〉.,<color=#FF76DE>,Reduza toda a recarga mágica em 3% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,90 ,50 ,1 ,0 ,-19 ,1 ,-307 ,1 ,90 ,50 ,6 ,3 ,1 ,0 ,1 ,0 ,`,`
19,Arqueólogo,학파,0 ,<color=#EBEBEB>,〔Nv de Raio Mágico +1〕 @ Um [Baú de Tesouro] é criado a cada [20] níveis de personagem.,<color=#32FFE1>,Explorador Lv +1,<color=#6EDCFF>,Aumente a aquisição de mana em 10%,<color=#EBEBEB>,[Baús de Tesouro] são criados com 〈10%〉 mais frequência.,<color=#FF76DE>,Aumente o alcance de coleta de item em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-38 ,1 ,38 ,10 ,127 ,-10 ,40 ,20 ,1 ,0 ,1 ,0 ,`,`
20,Mágico,학파,0 ,<color=#EBEBEB>,〔Nv de Raio Mágico +1〕 @ 〈20%〉 de chance aumentada de Raio Mágico se transformar em um [projétil aleatório].,<color=#32FFE1>,Raio Mágico Lv +1,<color=#EBEBEB>,〈5%〉 de chance aumentada de Raio Mágico se transformar em um [projétil aleatório].,<color=#EBEBEB>,〈5%〉 de chance aumentada de Raio Mágico se transformar em um [projétil aleatório].,<color=#FF76DE>,Aumente a taxa de Golpe Crítico em 3% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,168 ,20 ,1 ,0 ,-1 ,1 ,168 ,5 ,168 ,5 ,14 ,3 ,1 ,0 ,1 ,0 ,`,`
21,Mago,학파,0 ,<color=#EBEBEB>,"〔Nevasca Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Nevasca aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Nevasca Lv +1,<color=#6EDCFF>,Reduza a recarga de Nevasca em 20%,<color=#6EDCFF>,Aumente o número de Nevascas em 35%,<color=#FF76DE>,Aumente o dano de Nevasca em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17 ,1 ,1 ,0 ,1 ,0 ,-17 ,1 ,519 ,20 ,514 ,35 ,511 ,20 ,1 ,0 ,1 ,0 ,`,`
22,Mago de Batalha,학파,0 ,<color=#EBEBEB>,"〔Choque Luminoso Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Choque Luminoso aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Choque Luminoso Lv +1,<color=#6EDCFF>,Reduza a recarga de Choque Luminoso em 20%,<color=#6EDCFF>,Aumente o tamanho de Choque Luminoso em 25%,<color=#FF76DE>,Aumente o dano de Choque Luminoso em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-21 ,1 ,1 ,0 ,1 ,0 ,-21 ,1 ,609 ,20 ,606 ,25 ,601 ,20 ,1 ,0 ,1 ,0 ,`,`
23,Senhor da Guerra,학파,0 ,<color=#EBEBEB>,"〔Incineração Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Incineração aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Incineração Lv +1,<color=#6EDCFF>,Reduza a recarga de Incineração em 20%,<color=#6EDCFF>,Aumente o tamanho de Incineração em 25%,<color=#FF76DE>,Aumente o dano de Incineração em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15 ,1 ,1 ,0 ,1 ,0 ,-15 ,1 ,472 ,20 ,468 ,25 ,461 ,20 ,1 ,0 ,1 ,0 ,`,`
24,Mago Negro,학파,0 ,<color=#EBEBEB>,〔Nv de Raio Mágico +1〕 @ 〈10%〉 de chance de causar uma [explosão] ao matar um inimigo. @ 『(Dano de explosão é 75% da vida máx. do inimigo)』,<color=#32FFE1>,Efusão Arcana Lv +1,<color=#6EDCFF>,〈5%〉 de chance aumenta de inimigos [explodirem] ao serem mortos,<color=#6EDCFF>,〈5%〉 de chance aumenta de inimigos [explodirem] ao serem mortos,<color=#FF76DE>,Aumente todo o tamanho da magia em 3% (todas as classes),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,118 ,10 ,1 ,0 ,-35 ,1 ,118 ,5 ,118 ,5 ,8 ,3 ,1 ,0 ,1 ,0 ,`,`
25,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
26,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
27,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
28,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
29,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
30,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
31,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
32,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
33,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
34,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
35,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
36,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
37,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
38,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
39,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,`,`
41,Feiticeiro,실험체,800 ,<color=#FF76DE>,Aumente o dano de Raio Mágico em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,151 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
42,Astrônomo,실험체,800 ,<color=#1BA9E3>,Energia do Núcleo,<color=#FF76DE>,Aumente o dano de Satélite em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,306 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
43,Criomante,실험체,800 ,<color=#1BA9E3>,Cristal da Lua,<color=#FF76DE>,Aumente o dano de Nova Gélida em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,80 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,371 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
44,Xamã,실험체,800 ,<color=#1BA9E3>,Mjolnir,<color=#FF76DE>,Aumente o dano de Tempestade em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,139 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,211 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
45,Bruxo,실험체,800 ,<color=#1BA9E3>,Portão Dimensional,<color=#FF76DE>,Aumente o dano de Meteoro em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,140 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,321 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
46,Arcanista,실험체,800 ,<color=#1BA9E3>,Minério de Mana,<color=#FF76DE>,Aumente o ataque em 2% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,56 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
