ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
10,Thiên thạch,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Một thiên thạch rơi xuống vị trí ngẫu nhiên.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Thiên thạch 50% @ Giảm hồi chiêu Thiên thạch 5%,<color=#FFFFFF>,《Tăng số lượng Thiên thạch thêm 1》^《Tăng sát thương Thiên thạch 50%》^《Tăng kích thước Thiên thạch 20%》^《Tăng số lượng Thiên thạch thêm 1》^《Tăng sát thương Thiên thạch 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,323 ,1 ,321 ,50 ,324 ,20 ,323 ,1 ,321 ,50 ,1 ,0 ,321 ,50 ,327 ,5 ,`,`
11,Tàng hình,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,[Xuyên qua] mọi vật thể trong chốc lát và tăng [tốc độ di chuyển].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Tăng thời gian Tàng hình 30%》^《Tăng thời gian Tàng hình 30%》^《Tăng thời gian Tàng hình 30%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11 ,1 ,352 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
12,Lốc xoáy,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo một cơn gió lốc lớn dần và gây sát thương.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Lốc xoáy 50% @ Tăng thời gian Lốc xoáy 15%,<color=#FFFFFF>,《Tăng số lượng Lốc xoáy thêm 1》^《Tăng sát thương Lốc xoáy 50%》^《Tăng thời gian Lốc xoáy 30%》^《Tăng số lượng Lốc xoáy thêm 1》^《Tăng sát thương Lốc xoáy 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,393 ,1 ,391 ,50 ,395 ,30 ,393 ,1 ,391 ,50 ,1 ,0 ,391 ,50 ,395 ,15 ,`,`
13,Điện giật,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Phóng điện theo hướng ngẫu nhiên.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Điện giật 50% @ Giảm hồi chiêu Điện giật 5%,<color=#FFFFFF>,《Tăng sát thương Điện giật 20% @ Tăng số lượng Điện giật thêm 1》^《Tăng sát thương Điện giật 20% @ Tăng số lượng Điện giật thêm 1》^《Tăng sát thương Điện giật 20% @ Tăng số lượng Điện giật thêm 1》^《Tăng sát thương Điện giật 20% @ Tăng số lượng Điện giật thêm 1》^《Tăng sát thương Điện giật 20% @ Tăng số lượng Điện giật thêm 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,421 ,20 ,424 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,421 ,50 ,431 ,5 ,`,`
14,Armageddon,마법,6 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Xóa sổ mọi kẻ địch.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Giảm hồi chiêu Armageddon 10%》^《Giảm hồi chiêu Armageddon 10%》^《Giảm hồi chiêu Armageddon 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14 ,1 ,443 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
15,Thiêu hủy,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Phóng lửa về phía trước nhân vật.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Thiêu hủy 50% @ Giảm hồi chiêu Thiêu hủy 5%,<color=#FFFFFF>,《Tăng số lượng Thiêu hủy thêm 6》^《Tăng sát thương Thiêu hủy 50%》^《Tăng kích thước Thiêu hủy 20%》^《Tăng số lượng Thiêu hủy thêm 6》^《Tăng sát thương Thiêu hủy 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15 ,1 ,463 ,6 ,461 ,50 ,468 ,20 ,463 ,6 ,461 ,50 ,1 ,0 ,461 ,50 ,472 ,5 ,`,`
16,Tia năng lượng,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Bắn một viên đạn xuyên thấu ở gần.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Tia năng lượng 50% @ Tăng kích thước Tia năng lượng 10%,<color=#FFFFFF>,《Tăng sát thương Tia năng lượng 20% @ Thêm 2 Tia năng lượng》^《Tăng sát thương Tia năng lượng 20% @ Thêm 2 Tia năng lượng》^《Tăng sát thương Tia năng lượng 20% @ Thêm 2 Tia năng lượng》^《Tăng sát thương Tia năng lượng 20% @ Thêm 2 Tia năng lượng》^《Tăng sát thương Tia năng lượng 20% @ Thêm 2 Tia năng lượng》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16 ,1 ,481 ,20 ,485 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,481 ,50 ,483 ,10 ,`,`
17,Bão tuyết,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo Bão tuyết [đóng băng] kẻ địch.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Bão tuyết 50% @ Giảm hồi chiêu Bão tuyết 5%,<color=#FFFFFF>,《Tăng số lượng Bão tuyết thêm 8》^《Tăng sát thương Bão tuyết 50%》^《Giảm hồi chiêu Bão tuyết 15%》^《Tăng số lượng Bão tuyết thêm 8》^《Tăng sát thương Bão tuyết 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17 ,1 ,513 ,8 ,511 ,50 ,519 ,15 ,513 ,8 ,511 ,50 ,1 ,0 ,511 ,50 ,519 ,5 ,`,`
18,Tia bí thuật,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Bắn một tia xuyên qua mọi vật thể.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Tia bí thuật 50% @ Giảm hồi chiêu Tia bí thuật 5%,<color=#FFFFFF>,《Tăng sát thương Tia bí thuật 20% @ Tăng số lượng Tia bí thuật thêm 1》^《Tăng sát thương Tia bí thuật 20% @ Tăng số lượng Tia bí thuật thêm 1》^《Tăng sát thương Tia bí thuật 20% @ Tăng số lượng Tia bí thuật thêm 1》^《Tăng sát thương Tia bí thuật 20% @ Tăng số lượng Tia bí thuật thêm 1》^《Tăng sát thương Tia bí thuật 20% @ Tăng số lượng Tia bí thuật thêm 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,531 ,20 ,533 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,531 ,50 ,542 ,5 ,`,`
19,Vòng tròn phép,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,{Khuếch đại} [ATK] trong một khoảng thời gian.,<color=#EB96FF>,(Hiệu ứng khuếch đại cơ bản: 20%),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Tăng hiệu ứng Vòng tròn phép 5% @ Tăng thời gian Vòng tròn phép 20%》^《Tăng hiệu ứng Vòng tròn phép 5% @ Tăng thời gian Vòng tròn phép 20%》^《Tăng hiệu ứng Vòng tròn phép 5% @ Tăng thời gian Vòng tròn phép 20%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19 ,1 ,561 ,5 ,563 ,20 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
20,Vùng dung nham,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo một Vùng dung nham liên tục gây sát thương kẻ địch trong một khoảng thời gian.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Vùng dung nham 50% @ Giảm hồi chiêu Vùng dung nham 5%,<color=#FFFFFF>,《Tăng số lượng Vùng dung nham thêm 1》^《Tăng sát thương Vùng dung nham 50%》^《Tăng kích thước Vùng dung nham 20%》^《Tăng số lượng Vùng dung nham thêm 1》^《Tăng sát thương Vùng dung nham 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20 ,1 ,583 ,1 ,581 ,50 ,587 ,20 ,583 ,1 ,581 ,50 ,1 ,0 ,581 ,50 ,590 ,5 ,`,`
21,Chớp điện,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo một tia chớp bay theo hướng nhân vật đang di chuyển và gây sát thương kẻ địch.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Chớp điện 50% @ Giảm hồi chiêu Chớp điện 5%,<color=#FFFFFF>,《Tăng kích thước Chớp điện 15%》^《Tăng sát thương Chớp điện 50%》^《Tăng kích thước Chớp điện 15%》^《Giảm hồi chiêu Chớp điện 20%》^《Tăng sát thương Chớp điện 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-21 ,1 ,606 ,15 ,601 ,50 ,606 ,15 ,609 ,20 ,601 ,50 ,1 ,0 ,601 ,50 ,609 ,5 ,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
30,Phép nâng cao,패시브,1 ,0 ,0 ,0 ,0 ,3 ,30 ,<color=#EBEBEB>,Tăng sát thương [Phép kết hợp] 〈15%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-30 ,1 ,90 ,15 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
31,Trí tuệ,패시브,0 ,0 ,0 ,0 ,0 ,5 ,31 ,<color=#64FF32>,Tăng ATK 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Tăng ATK 3%,1,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-31 ,1 ,4 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
32,Thi triển nhanh,패시브,0 ,0 ,0 ,0 ,0 ,3 ,32 ,<color=#64FF32>,Giảm hồi chiêu mọi phép 5%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Giảm hồi chiêu mọi phép 1%,1,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-32 ,1 ,6 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
33,Sinh lực,패시브,0 ,0 ,0 ,0 ,0 ,5 ,33 ,<color=#64FF32>,Tăng HP tối đa 20%,<color=#64FF32>,Tăng hồi HP từ Cầu sinh mệnh 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Tăng HP tối đa 10%,1,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-33 ,1 ,20 ,20 ,36 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
34,Thần tốc,패시브,0 ,0 ,0 ,0 ,0 ,2 ,34 ,<color=#64FF32>,Tăng tốc độ di chuyển 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Tăng tốc độ di chuyển 2%,1,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-34 ,1 ,30 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
35,Tuôn trào bí thuật,패시브,0 ,0 ,0 ,0 ,0 ,3 ,35 ,<color=#64FF32>,Tăng kích thước mọi phép 5%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Tăng kích thước mọi phép 2%,1,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-35 ,1 ,8 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
