ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
10,森林,`,380 ,31 ,17 ,16 ,15 ,14 ,8 ,70 ,研究所的大部分设施都建造于山地上,这也同时切断了外部流入。,`,10,阵列地,森林,10 ,`,`,1080 ,0 ,11 ,400 ,随着实验规模不断扩大,为了了解各种各样的蜂群增殖模式,研究所附近的村庄全都被搁置了。,`,`,`,`,`,`,`,`,`
11,城市,`,400 ,32 ,18 ,17 ,16 ,15 ,8 ,74 ,空前的物资供给使城市蓬勃发展了起来。,`,`,11,洞察,城市,11 ,`,`,1080 ,0 ,12 ,400 ,蜂群成长的极限在哪无从知晓。,但也不知是它们的本能还是另有意图存在,它们总像是在可控地在行动。,`,`,`,`,`,`,`,`,`
12,虚拟生态系统,`,500 ,0 ,10 ,12 ,15 ,18 ,20 ,75 ,可实现经验和知识的空间,`,`,12,持续,边界,12 ,`,`,1800 ,0 ,13 ,500 ,情势已经被成功稳定下来了。,但它们依然是必要的存在,所以没未将其全数歼灭。,`,`,`,`,`,`,`,`,`
13,深层区域,`,400 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,实验必须继续。,`,`,13,研究成功,深层区域,13 ,`,`,1500 ,0 ,14 ,500 ,他们很自然地认为，,通过研究发现的群体进化产物是为了他们自己的利益。,然而，它们的进化并不是为了杀死眼前的敌人。,相反，他们想将自己塑造成有效的营养物质，,并通过此来培养和分析人造人。,就像我们研究群体一样......,`,`,`,结果是对人类的严峻考验。,`,`
14,特拉,`,400 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,新时代正在到来。,`,`,14,黄金时代,特拉,14 ,`,`,1500 ,0 ,15 ,500 ,在与魔王数百年的战争结束之后 @ 我们相信 [乌托邦] 终于会到来。,`,然而，那些曾关乎生死的悲剧却沦为了娱乐 @ 世界也因沉溺于享乐而堕落。,`,在这混乱之中诞生了可怕的造物：[人造人] 和 [虫群]。,但实验并没有停止。 @ 因为我们从那些怪物中发现了新的可能性……,`,【让恐惧重临的希望。】,`,`,`,`
15,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,15,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
16,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,16,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
17,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,17,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
18,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,18,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
19,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,19,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
20,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,20,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
21,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,21,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,22,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,23,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,24,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,25,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,26,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,27,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,28,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,29,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
30,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,30,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
31,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,31,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
32,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,32,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
33,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,33,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
34,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,34,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
35,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,35,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
36,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,36,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
37,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,37,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
38,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,38,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
39,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,39,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
40,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,40,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
41,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,41,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
42,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,42,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
43,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,43,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
44,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,44,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
45,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,45,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
46,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,46,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
47,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,47,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
48,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,48,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
49,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,49,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
50,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,50,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
51,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,51,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
52,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,52,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
53,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,53,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
54,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,54,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
55,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,55,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
56,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,56,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
57,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,57,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
58,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,58,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
59,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,59,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
60,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,60,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
61,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,61,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
62,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,62,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
63,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,63,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
64,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,64,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
65,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,65,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
66,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,66,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
67,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,67,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
68,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,68,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
69,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,69,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
70,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,70,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
71,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,71,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
72,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,72,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
73,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,73,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
74,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,74,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
75,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,75,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
76,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,76,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
77,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,77,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
78,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,78,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
79,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,79,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
80,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,80,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
81,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,81,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
82,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,82,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
83,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,83,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
84,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,84,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
85,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,85,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
86,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,86,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
87,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,87,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
88,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,88,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
89,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,89,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
90,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,90,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
91,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,91,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
92,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,92,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
93,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,93,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
94,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,94,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
95,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,95,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
96,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,96,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
97,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,97,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
98,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,98,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
99,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,99,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
100,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,100,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
101,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,101,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
102,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,102,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
103,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,103,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
104,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,104,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
105,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,105,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
106,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,106,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
107,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,107,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
108,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,108,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
109,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,109,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
110,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,110,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
111,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,111,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
112,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,112,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
113,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,113,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
114,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,114,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
115,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,115,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
116,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,116,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
117,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,117,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
118,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,118,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
