ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
10,Druide,학파,0 ,<color=#EBEBEB>,〔Zyklon Lv +1〕 @ Erhöhe den Schaden von Zyklon um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Zyklon Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Zyklon um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Zyklone um 1,<color=#FF76DE>,Erhöhe den Zyklon-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,1 ,0 ,1 ,0 ,-12 ,1 ,406 ,20 ,393 ,1 ,391 ,20 ,1 ,0 ,1 ,0 
11,Pyromant,학파,0 ,<color=#EBEBEB>,〔Feuerball Lv +1〕 @ Erhöhe den Schaden von Feuerball um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Feuerball Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Feuerbällen um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Feuerbälle um 1,<color=#FF76DE>,Erhöhe den Feuerball-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,1 ,0 ,1 ,0 ,-2 ,1 ,194 ,20 ,184 ,1 ,181 ,20 ,1 ,0 ,1 ,0 
12,Hexenmeister,학파,0 ,<color=#EBEBEB>,〔Elektroschock Lv +1〕 @ Erhöhe den Schaden von Elektroschock um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Elektroschock Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Elektroschocks um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Elektroschocks um 35%,<color=#FF76DE>,Erhöhe den Elektroschock-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,1 ,0 ,1 ,0 ,-13 ,1 ,431 ,20 ,426 ,35 ,421 ,20 ,1 ,0 ,1 ,0 
13,Alchemist,학파,0 ,<color=#EBEBEB>,〔Energiebolzen Lv +1〕 @ Erhöhe den Schaden von Energiebolzen um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Energiebolzen Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit des Energiebolzens um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Energiebolzen um 35%,<color=#FF76DE>,Erhöhe den Energiebolzen-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16 ,1 ,1 ,0 ,1 ,0 ,-16 ,1 ,493 ,20 ,486 ,35 ,481 ,20 ,1 ,0 ,1 ,0 
14,Gelehrter,학파,0 ,<color=#EBEBEB>,〔Startlevel +3〕 @ Erhöhe den 〔Schaden aller Zauber〕 um 〈1%〉 bei jedem Levelaufstieg von [1] des Charakters.,<color=#EB96FF>,Arzt Lv +1,<color=#EBEBEB>,Erhalte 〈30%〉 mehr Mana beim Erhalt von Mana.,<color=#EBEBEB>,"〈50%〉 erhöhte Chance, [4] Magiewahl zu haben.",<color=#FF76DE>,Erhöhe Mana-Erwerb um 5% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,1 ,0 ,1 ,0 ,-316 ,1 ,61 ,30 ,58 ,50 ,38 ,5 ,1 ,0 ,1 ,0 
15,Hexe,학파,0 ,<color=#EBEBEB>,〔Lava-Zone Lv +1〕 @ Erhöhe den Schaden von Lava-Zone um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Lava-Zone Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Lava-Zone um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Lava-Zonen um 1,<color=#FF76DE>,Erhöhe den Lava-Zonen-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20 ,1 ,1 ,0 ,1 ,0 ,-20 ,1 ,590 ,20 ,583 ,1 ,581 ,20 ,1 ,0 ,1 ,0 
16,Elektromagier,학파,0 ,<color=#EBEBEB>,〔Elektrische Zone Lv +1〕 @ Erhöhe den Schaden von Elektrische Zone um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Elektrische Zone Lv +1,<color=#6EDCFF>,Verringere das Schadensintervall der Elektrischen Zone um 20%,<color=#6EDCFF>,Erhöhe die Größe der elektrischen Zone um 25%,<color=#FF76DE>,Erhöhe den Schaden der Elektrischen Zone um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,1 ,0 ,1 ,0 ,-8 ,1 ,296 ,20 ,293 ,25 ,291 ,20 ,1 ,0 ,1 ,0 
17,Arbiter,학파,0 ,<color=#EBEBEB>,〔Tsunami Lv +1〕 @ Erhöhe den Schaden von Tsunami um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Tsunami Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Tsunamis um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Tsunamis um 35%,<color=#FF76DE>,Erhöhe den Tsunami-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,1 ,0 ,1 ,0 ,-9 ,1 ,259 ,20 ,254 ,35 ,251 ,20 ,1 ,0 ,1 ,0 
18,Erzmagier,학파,0 ,<color=#EBEBEB>,〔Startlevel +3〕 @ Erhöhe den Schaden der [Schaden der Kombinationsmagie] um 〈50%〉.,<color=#32FFE1>,Magischer Kreis Lv +1,<color=#EB96FF>,Stummes Wirken Lv +1,<color=#EBEBEB>,Erhöhe [Schaden der Kombinationsmagie] um 〈50%〉,<color=#FF76DE>,Verringere die Abklingzeit aller Magie um 3% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,90 ,50 ,1 ,0 ,-19 ,1 ,-307 ,1 ,90 ,50 ,6 ,3 ,1 ,0 ,1 ,0 
19,Archäologe,학파,0 ,<color=#EBEBEB>,〔Magiebolzen St. +1〕 @ Für jede [20] Stufen des Charakters wird eine [Schatztruhe] erstellt.,<color=#32FFE1>,Entdecker Lv +1,<color=#6EDCFF>,Erhöhe Mana-Erwerb um 10%,<color=#EBEBEB>,[Schatztruhen] werden 〈10%〉 häufiger erstellt.,<color=#FF76DE>,Erhöhe Reichweite zum Aufsammeln von Gegenständen um 20% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-38 ,1 ,38 ,10 ,127 ,-10 ,40 ,20 ,1 ,0 ,1 ,0 
20,Magier,학파,0 ,<color=#EBEBEB>,"〔Magiebolzen St. +1〕 @ 〈20%〉 erhöhte Chance, dass sich ein Magiebolzen in ein [zufälliges Projektil] verwandelt.",<color=#32FFE1>,Magiebolzen Lv +1,<color=#EBEBEB>,"〈5%〉 erhöhte Chance, dass ein Magiebolzen in ein [zufälliges Projektil] verwandelt wird.",<color=#EBEBEB>,"〈5%〉 erhöhte Chance, dass ein Magiebolzen in ein [zufälliges Projektil] verwandelt wird.",<color=#FF76DE>,Erhöhe Kritische Trefferquote um 3% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,168 ,20 ,1 ,0 ,-1 ,1 ,168 ,5 ,168 ,5 ,14 ,3 ,1 ,0 ,1 ,0 
21,Magier,학파,0 ,<color=#EBEBEB>,〔Blizzard Lv +1〕 @ Erhöhe den Schaden von Blizzard um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Blizzard Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Blizzard um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Blizzards um 35%,<color=#FF76DE>,Erhöhe den Blizzard-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17 ,1 ,1 ,0 ,1 ,0 ,-17 ,1 ,519 ,20 ,514 ,35 ,511 ,20 ,1 ,0 ,1 ,0 
22,Kampfmagier,학파,0 ,<color=#EBEBEB>,〔Blitzschock Lv +1〕 @ Erhöhe den Schaden von Blitzschock um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Blitzschock Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit des Blitzschocks um 20%,<color=#6EDCFF>,Erhöhe die Größe des Blitzschocks um 25%,<color=#FF76DE>,Erhöhe den Blitzschock-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-21 ,1 ,1 ,0 ,1 ,0 ,-21 ,1 ,609 ,20 ,606 ,25 ,601 ,20 ,1 ,0 ,1 ,0 
23,Kriegsherr,학파,0 ,<color=#EBEBEB>,〔Verbrennung Lv +1〕 @ Erhöhe den Schaden von Verbrennung um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Verbrennung Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit der Verbrennung um 20%,<color=#6EDCFF>,Erhöhe Verbrennungsgröße um 25%,<color=#FF76DE>,Erhöhe den Verbrennungsschaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15 ,1 ,1 ,0 ,1 ,0 ,-15 ,1 ,472 ,20 ,468 ,25 ,461 ,20 ,1 ,0 ,1 ,0 
24,Schwarzmagier,학파,0 ,<color=#EBEBEB>,"〔Magiebolzen St. +1〕 @ 〈10%〉 Chance, eine [Explosion] zu verursachen, wenn du einen Gegner tötest. @ 『(Der Explosionsschaden beträgt 75% der Max LP des Gegners)』.",<color=#32FFE1>,Arkaner Erguss Lv +1,<color=#6EDCFF>,"〈5%〉 erhöhte Chance, dass Gegner beim Töten [explodieren].",<color=#6EDCFF>,"〈5%〉 erhöhte Chance, dass Gegner beim Töten [explodieren].",<color=#FF76DE>,Erhöhe alle Magiegrößen um 3% (Alle Klassen),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,118 ,10 ,1 ,0 ,-35 ,1 ,118 ,5 ,118 ,5 ,8 ,3 ,1 ,0 ,1 ,0 
25,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
26,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
27,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
28,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
29,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
30,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
31,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
32,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
33,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
34,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
35,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
36,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
37,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
38,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
39,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
41,Zauberer,실험체,800 ,<color=#FF76DE>,Erhöhe den Schaden von Magiebolzen um 5% (Alle Klassen),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,151 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
42,Astronom,실험체,800 ,<color=#1BA9E3>,Kernenergie,<color=#FF76DE>,Erhöhe Satellitenschaden um 5%. (Alle Klassen),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,306 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
43,Kryomancer,실험체,800 ,<color=#1BA9E3>,Mondkristall,<color=#FF76DE>,Erhöht den Frostnova-Schaden um 5% (Alle Klassen),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,80 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,371 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
44,Schamane,실험체,800 ,<color=#1BA9E3>,Mjölnir,<color=#FF76DE>,Erhöhe den Gewitterschaden um 5%. (Alle Klassen),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,139 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,211 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
