ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
10,Wirbel,조합,463 ,389 ,0 ,<color=#F5F5E1>,Zyklone werden in der Nähe des Charakters erzeugt und rotieren.,<color=#F5F5E1>,Zyklone [schrumpfen] allmählich.,<color=#6EDCFF>,Erhöhe den Zyklon-Schaden um das 9-fache,<color=#6EDCFF>,Erhöhe die Zyklondauer um das 9-fache,<color=#6EDCFF>,Verringere die Abklingzeit von Zyklon um 50%,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,Darkness,10,Zyklon manifestiert sich intermittierend in einer extrem verstärkten Form.,`,`
11,Feueratem,조합,490 ,515 ,0 ,<color=#F5F5E1>,"Verbrennung feuert nicht mehr seitlich vom Charakter, @ sondern in [fünf Richtungen] vom Charakter aus.",<color=#F5F5E1>,Verbrennungen werden mit größerer Reichweite und schnellerer Geschwindigkeit erzeugt.,<color=#6EDCFF>,Erhöhe Verbrennungsschaden um das 6-fache,<color=#6EDCFF>,Erhöhe die Anzahl der Verbrennungen um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,Ätherexplosion,조합,508 ,488 ,0 ,<color=#F5F5E1>,Jede Blizzard-Explosion spaltet sich in 〈2〉.,<color=#6EDCFF>,Erhöhe den Blizzard-Schaden um das 8-fache,<color=#6EDCFF>,Erhöhe die Größe des Blizzards um 20%,<color=#6EDCFF>,Verringere das Blizzard-Intervall um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,아마테라스,0,`,`,`
13,Orbitaler Schlag,조합,417 ,507 ,0 ,<color=#F5F5E1>,Blitze entstehen schnell in der Nähe eines bestimmten Ortes.,<color=#6EDCFF>,Erhöhe den Schaden des Gewitters um das 9-fache,<color=#6EDCFF>,Erhöhe die Gewitter-Größe um 30%,<color=#FF6464>,Erhöhe die Abklingzeit von Gewitter um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,30 ,220 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,9,1 ,0 ,1 ,0 ,1 ,0 ,익스터미네이션,0,`,`,`
14,Neutronen-Erzeugung,조합,462 ,391 ,0 ,<color=#F5F5E1>,Alle Zyklone werden zu einem einzigen [zusammengefasst].,<color=#F5F5E1>,"Zyklone feuern keine Geschosse mehr ab, @ sondern [expandieren] schnell und ihre Geschwindigkeit nimmt allmählich ab.",<color=#F5F5E1>,Jeder Zyklon erhöht die [Größe] des neuen Zyklons um 〈25%〉.,<color=#6EDCFF>,Erhöhe den Zyklon-Schaden um das 10-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,Omega,10,Die Dauer von Zyklon wird in Schaden umgewandelt und verursacht beim Verschwinden eine Explosion.,`,`
15,Wintersturm,조합,506 ,372 ,0 ,<color=#F5F5E1>,Blizzard-Explosionen [expandieren].,<color=#6EDCFF>,Erhöhe den Blizzard-Schaden um das 8-fache,<color=#6EDCFF>,Erhöhe die Größe des Blizzards um 25%,<color=#FF6464>,Verringere die Anzahl der Blizzards um 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,25 ,515 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
16,Plasmastrahl,조합,516 ,391 ,0 ,<color=#F5F5E1>,Arkaner Strahl ist auf 〈4〉 [fixiert] und [dauerhaft]; bei jeder Reduktion der Abklingzeit von [4 Sekunden] auf [1 Sekunde] erhöht sich die Anzahl der [Strahlen] um 〈1〉,<color=#F5F5E1>,Arkane Strahl-[Größe] und [Dauer] werden in [Schaden] {umgewandelt},<color=#F5F5E1>,"Arkaner Strahl verursacht Schaden alle 〈0,25 Sekunden〉",<color=#6EDCFF>,Arkaner Strahl-Schadensmultiplikator erhöht sich um 1 pro Strahl,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Quantum Laser,9,Der Arkaner Strahl erhöht seine Stärke und rotiert schneller proportional zur Anzahl aktiver Strahlen.,`,`
17,Blitzstrahlen,조합,416 ,470 ,0 ,<color=#F5F5E1>,〈5〉 Gewitter werden in einer Reihe an zufälligen Orten erzeugt.,<color=#F5F5E1>,Jedes Gewitter erhöht den [Erstellungsradius] und die [Anzahl] des neuen Gewitters um 〈30%〉.,<color=#6EDCFF>,Erhöhe den Schaden des Gewitters um das 12-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Death Storm,4,Die Anzahl der aufeinanderfolgenden Erzeugungen von Gewitter erhöht sich und es wird schneller erzeugt.,`,`
18,Photonenexplosion,조합,409 ,35 ,0 ,<color=#F5F5E1>,"Der Schild explodiert, anstatt sich aufzuladen.",<color=#F5F5E1>,[Schaden] und [Größe] von Schilden erhöhen sich pro Schild um 〈33%〉,<color=#F5F5E1>,[Schaden] erhöht sich im Verhältnis zu [Alle magischen Größen erhöhen sich],<color=#6EDCFF>,Verringere die Abklingzeit von Schilden um 70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,233 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
19,Inferno,조합,488 ,533 ,0 ,<color=#F5F5E1>,Verbrennung wird schneller erzeugt und der [maximale Multiplikator] steigt,<color=#EB96FF>,"(Maximalmultiplikator: Schaden X30, Größe X2)",<color=#6EDCFF>,Verringere die Abklingzeit der Verbrennung um 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,472 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Inquisitor,23,Verbrennung entsteht explosionsartig in einem einzigen Moment.,`,`
20,Blitzkalibrierung,조합,425 ,390 ,0 ,<color=#F5F5E1>,Elektrische Zonen rotieren als mehrere [Projektile] um den Charakter.,<color=#F5F5E1>,"Elektrische Zonen haben kein [Schadensintervall] mehr, sondern eine erhöhte [Rotationsgeschwindigkeit].",<color=#6EDCFF>,Erhöhe den Schaden der elektrischen Zone um das 10-fache,<color=#6EDCFF>,Erhöhe die Größe der elektrischen Zone um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,10,1 ,0 ,1 ,0 ,1 ,0 ,템페스터,0,감전지대가 더 많은 투사체를 생성하고 더 강해진다.,`,`
21,Ofen,조합,535 ,443 ,0 ,<color=#F5F5E1>,Lava-Zonen [expandieren] allmählich.,<color=#F5F5E1>,[Schaden] erhöht sich im Verhältnis zur Dauer der Lava-Zone.,<color=#6EDCFF>,Erhöhe den Schaden der Lava-Zone um das 10-fache,<color=#6EDCFF>,Erhöhe die Dauer der Lava-Zone um 30%,<color=#6EDCFF>,Verringere die Abklingzeit von Lava-Zone um 30%,<color=#FFFFFF>,`,585 ,30 ,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
22,Derzeitige Überlastung,조합,470 ,382 ,0 ,<color=#F5F5E1>,"Elektroschocks werden nicht mehr verkettet, sondern 〈3 bis 7 Mal〉 in Folge erzeugt.",<color=#F5F5E1>,Elektroschock hat eine längere [Reichweite].,<color=#6EDCFF>,Erhöhe den Elektroschock-Schaden um das 8-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
23,Große Flut,조합,435 ,461 ,0 ,<color=#F5F5E1>,〈2〉 zusätzliche Tsunamis werden auf jeder Seite des Tsunamis erzeugt.,<color=#F5F5E1>,Tsunamis werden immer auf der Rückseite des Charakters erzeugt.,<color=#6EDCFF>,Erhöhe den Tsunami-Schaden um das 8-fache,<color=#FF6464>,Erhöhe die Abklingzeit des Tsunamis um 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,260 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,8,1 ,0 ,1 ,0 ,1 ,0 ,Mega-Tsunami,17,Tsunami tritt gleichzeitig in einem weiten Radius auf.,`,`
24,Schneeflockenblüte,조합,399 ,434 ,0 ,<color=#F5F5E1>,Frostnova explodiert 〈24 Mal〉 nacheinander bei nahen Gegnern und reduziert [Schaden] und [Größe] um 〈2%〉 pro Explosion,<color=#6EDCFF>,Erhöhe den Schaden der Frostnova um das 24-fache,<color=#6EDCFF>,Verringere die Abklingzeit der Frostnova um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,378 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,24,1 ,0 ,1 ,0 ,1 ,0 ,Zero Nova,3,Die Explosionen von Frostnova werden in großer Menge und hoher Geschwindigkeit erzeugt.,`,`
25,Herrscher der Stürme,조합,461 ,366 ,0 ,<color=#F5F5E1>,〈3〉 Zyklone werden in einer Reihe in mehreren Richtungen erzeugt.,<color=#F5F5E1>,Die [Bewegungsgeschwindigkeit] der Zyklone erhöht sich und verringert sich dann allmählich.,<color=#6EDCFF>,Erhöhe den Zyklon-Schaden um das 10-fache,<color=#6EDCFF>,Erhöhe die Größe des Zyklons um 20%,<color=#FF6464>,Verringere die Dauer des Zyklons um 50%,<color=#FFFFFF>,`,397 ,20 ,396 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
26,Overmind,조합,31 ,526 ,0 ,<color=#F5F5E1>,Nur [Kombinationszauber] können gewirkt werden,<color=#F5F5E1>,Pro Stufe erlernter [Aktivzauber] werden folgende Werte verstärkt,<color=#FF76DE>,"Verstärke ANG um 1,5%",<color=#64FF32>,"Erhöhe alle Magiegrößen um 0,5%",<color=#64FF32>,"Verringere die Abklingzeit aller Magie um 0,3%",<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
27,Ewiger Motor,조합,524 ,31 ,0 ,<color=#F5F5E1>,Magische Kreise sind [permanent].,<color=#F5F5E1>,Der [Effekt] des Zauberkreises wird um 〈1%〉 für jedes [3%] seiner Dauer erhöht.,<color=#F5F5E1>,Der [Effekt] des Zauberkreises erhöht sich um 〈1%〉 für jedes [3%] seiner Abklingzeitverringerung.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
28,Tor der Schöpfung,조합,31 ,525 ,0 ,<color=#F5F5E1>,Für jede aktivierte [Kombinationsmagie] wird [ANG] um 〈20%〉 {Verstärkt}.,<color=#F5F5E1>,Erhalte 〈2〉 mehr [Magiekombination]-Chance.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,35 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
29,Ursprungsexplosion,조합,499 ,373 ,0 ,<color=#F5F5E1>,"Energiebolzen explodieren [sofort], nachdem sie sich in alle Richtungen ausgebreitet haben.",<color=#F5F5E1>,Mit der Dauer von Energiebolzen erhöhen sich [Schaden] und [Anzahl].,<color=#6EDCFF>,Erhöhe den Energieblitz-Schaden um das 12-fache,<color=#6EDCFF>,Erhöhe die Explosionsgröße des Energiebolzens um 50%,<color=#FF6464>,Abklingzeit von Energiebolzen erhöht sich um 75%,<color=#FFFFFF>,`,494 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,12,1202 ,50,1 ,0 ,1 ,0 ,Blitz,13,Energiebolzen spaltet sich zweimal hintereinander.,`,`
30,Prisma-Spray,조합,515 ,366 ,0 ,<color=#F5F5E1>,"Anstatt Arkane Strahlen auf der gegenüberliegenden Seite zu erzeugen, @ werden sie [gleichzeitig] in zufälligen Richtungen 〈5 Mal〉 hintereinander erzeugt.",<color=#F5F5E1>,Die [Dauer] des arkanen Strahls wird in seinen [Schaden] {umgewandelt}.,<color=#6EDCFF>,Erhöhe den Schaden der arkanen Strahlen um das 7-fache,<color=#6EDCFF>,Verringere die Abklingzeit des Arkanstrahls um 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,542 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
31,Großer Riss,조합,400 ,443 ,0 ,<color=#F5F5E1>,Alle von Frostnova getroffenen Gegner werden [zurückgestoßen],<color=#F5F5E1>,Frostnova-Schaden steigt proportional zur Größe,<color=#6EDCFF>,Erhöhe den Schaden der Frostnova um das 10-fache,<color=#6EDCFF>,Erhöhe die Größe der Frostnova um 50%,<color=#FF6464>,Erhöhe die Abklingzeit der Frostnova um 50%,<color=#FFFFFF>,`,375 ,50 ,379 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
32,Hyperion,조합,391 ,445 ,0 ,<color=#F5F5E1>,"Ein integrierter Satellit wird zusätzlich auf der gegenüberliegenden Seite erzeugt; sein [Schaden] ist um 【20%】 reduziert, verursacht jedoch beim ersten Treffer {Einfrieren}.",<color=#F5F5E1>,Mit der Größe des Satelliten steigt der [Schaden].,<color=#6EDCFF>,Satellit-Schadensmultiplikator erhöht sich um 50%,<color=#6EDCFF>,Erhöhe die Rotationsgeschwindigkeit des Satelliten um 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,311 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Abaddon,2,Satellit verschmilzt zu einer einzigen Sonne und fügt allen Gegnern auf dem gesamten Schlachtfeld 33% Schaden zu.,`,`
33,Avatar,조합,367 ,380 ,0 ,<color=#F5F5E1>,"Beschwöre 〈3〉 zusätzliche [Illusionen], die Magiebolzen abfeuern.",<color=#F5F5E1>,Illusionen feuern jeweils nur [1] Magiebolzen ab.,<color=#F5F5E1>,Jeder Magiebolzen erhöht den [Schaden] um 〈33%〉.,<color=#6EDCFF>,"Erhöhe den Schaden des Magiebolzens um das 9,99-fache",<color=#6EDCFF>,Verringere die Abklingzeit von Magiebolzen um 33%,<color=#FFFFFF>,`,158 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,999,1 ,0 ,1 ,0 ,1 ,0 ,Equilibrium,1,Drei zusätzliche Doppelgänger werden erzeugt.,`,`
34,Herz des Blitzes,조합,470 ,497 ,0 ,<color=#F5F5E1>,"Jedes Mal, wenn Elektroschock verkettet wird, teilt sich das Projektil in 〈2〉 @ und der [Schaden] und [Größe] wird um 【20%】 verringert.",<color=#F5F5E1>,Elektroschock wird mit höherer Geschwindigkeit [verkettet].,<color=#6EDCFF>,Erhöhe den Elektroschock-Schaden um das 8-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8 ,1 ,0 ,1 ,0 ,1 ,0 ,Ark,12,"Elektroschock wird verstärkt; bei Kettenreaktion spalten sich die Geschosse nicht, verlieren jedoch keine Stärke.",`,`
35,Großer Aufprall,조합,445 ,507 ,0 ,<color=#F5F5E1>,"Meteor wird 〈3-mal〉 in Folge erzeugt, wobei der erste Meteor 〈50%〉 mehr [Stärke] besitzt.",<color=#6EDCFF>,Erhöhe den Meteor-Schaden um das 12-fache,<color=#6EDCFF>,Verringere die Abklingzeit von Meteoren um 30%,<color=#FF6464>,Verringere die Meteorgröße um 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,327 ,30 ,325 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Giant Impact,5,Meteor wird zu einem einzigen Einschlag vereint und betäubt beim Explodieren alle nahen Gegner.,`,`
36,Gefrorenes Herz,조합,427 ,399 ,0 ,<color=#F5F5E1>,Elektrische Zone [friert] Gegner kurzzeitig ein,<color=#F5F5E1>,Bei jeder Aktivierung der Elektrischen Zone steigt der [Schadens- und Größenmultiplikator] um 〈1〉 und wird bei 〈4〉 Aktivierungen [zurückgesetzt],<color=#6EDCFF>,Erhöhe den Schaden der elektrischen Zone um das 20-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,20,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
37,Meisner-Effekt,조합,426 ,472 ,0 ,<color=#F5F5E1>,"Wenn 《EMP》 ein Ziel betäubt, [wirf es zurück] und verursache 〈10-mal〉 {zusätzlichen Schaden}.",<color=#6EDCFF>,Erhöhe den Schaden der elektrischen Zone um das 6-fache,<color=#6EDCFF>,Erhöhe die Größe der elektrischen Zone um 100%,<color=#FF76DE>,Verstärke ANG um 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,100 ,16 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Lockdown,16,"Elektrische Zone wird als Welle erzeugt, und ihr Intervall beschleunigt sich proportional zur Abklingzeit.",`,`
38,Energiebombardement,조합,516 ,543 ,0 ,<color=#F5F5E1>,Mehrere arkane Strahlen werden in zufälligen Richtungen auf einmal erzeugt.,<color=#F5F5E1>,Arkane Strahlen rotieren nicht mehr.,<color=#6EDCFF>,Erhöhe den Schaden der arkanen Strahlen um das 20-fache,<color=#6EDCFF>,Erhöhe die Größe des arkanen Strahls um das 5-fache,<color=#FF6464>,Verringere die Dauer des arkanen Strahls um 75%,<color=#FFFFFF>,`,538 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,20,1239 ,5,1 ,0 ,1 ,0 ,`,0,`,`,`
