ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
10,Meteoro,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Um meteoro cai em um local aleatório.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Meteoro em 50% @ Reduza a recarga de Meteoro em 5%,<color=#FFFFFF>,《Aumente o número de Meteoros em 1》^《Aumente o dano de Meteoro em 50%》^《Aumente o tamanho de Meteoro em 20%》^《Aumente o número de Meteoros em 1》^《Aumente o dano de Meteoro em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,323 ,1 ,321 ,50 ,324 ,20 ,323 ,1 ,321 ,50 ,1 ,0 ,321 ,50 ,327 ,5 ,`,`
11,Camuflagem,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,[Passe] por todos os objetos por um momento e aumente a [velocidade de movimento].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Aumente a duração de Camuflagem em 30%》^《Aumente a duração de Camuflagem em 30%》^《Aumente a duração de Camuflagem em 30%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11 ,1 ,352 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
12,Ciclone,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Causa uma rajada de vento que aumenta de tamanho e causa dano.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Ciclone em 50% @ Aumente a duração de Ciclone em 15%,<color=#FFFFFF>,《Aumente o número de Ciclones em 1》^《Aumente o dano de Ciclone em 50%》^《Aumente a duração de Ciclone em 30%》^《Aumente o número de Ciclones em 1》^《Aumente o dano de Ciclone em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,393 ,1 ,391 ,50 ,395 ,30 ,393 ,1 ,391 ,50 ,1 ,0 ,391 ,50 ,395 ,15 ,`,`
13,Choque Elétrico,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Libere eletricidade em uma direção aleatória.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Choque Elétrico em 50% @ Reduza a recarga de Choque Elétrico em 5%,<color=#FFFFFF>,《Aumente o dano de Choque Elétrico em 20% @ Aumente o número de Choques Elétricos em 1》^《Aumente o dano de Choque Elétrico em 20% @ Aumente o número de Choques Elétricos em 1》^《Aumente o dano de Choque Elétrico em 20% @ Aumente o número de Choques Elétricos em 1》^《Aumente o dano de Choque Elétrico em 20% @ Aumente o número de Choques Elétricos em 1》^《Aumente o dano de Choque Elétrico em 20% @ Aumente o número de Choques Elétricos em 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,421 ,20 ,424 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,421 ,50 ,431 ,5 ,`,`
14,Armagedom,마법,6 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Remova todos os inimigos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Reduza a recarga de Armagedom em 10%》^《Reduza a recarga de Armagedom em 10%》^《Reduza a recarga de Armagedom em 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14 ,1 ,443 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
15,Incineração,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Lance chamas na frente do personagem.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Incineração em 50% @ Reduza a recarga de Incineração em 5%,<color=#FFFFFF>,《Aumente o número de Incinerações em 6》^《Aumente o dano de Incineração em 50%》^《Aumente o tamanho de Incineração em 20%》^《Aumente o número de Incinerações em 6》^《Aumente o dano de Incineração em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15 ,1 ,463 ,6 ,461 ,50 ,468 ,20 ,463 ,6 ,461 ,50 ,1 ,0 ,461 ,50 ,472 ,5 ,`,`
16,Raio de Energia,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Dispare um projétil penetrante nas proximidades.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Raio de Energia em 50% @ Aumente o tamanho de Raio de Energia em 10%,<color=#FFFFFF>,《Aumente o dano de Raio de Energia em 20% @ 2 Raios de Energia adicionais》^《Aumente o dano de Raio de Energia em 20% @ 2 Raios de Energia adicionais》^《Aumente o dano de Raio de Energia em 20% @ 2 Raios de Energia adicionais》^《Aumente o dano de Raio de Energia em 20% @ 2 Raios de Energia adicionais》^《Aumente o dano de Raio de Energia em 20% @ 2 Raios de Energia adicionais》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16 ,1 ,481 ,20 ,485 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,481 ,50 ,483 ,10 ,`,`
17,Nevasca,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Lance uma nevasca que [congela] inimigos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Nevasca em 50% @ Reduza a recarga de Nevasca em 5%,<color=#FFFFFF>,《Aumente o número de Nevascas em 8》^《Aumente o dano de Nevasca em 50%》^《Reduza a recarga de Nevasca em 15%》^《Aumente o número de Nevascas em 8》^《Aumente o dano de Nevasca em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17 ,1 ,513 ,8 ,511 ,50 ,519 ,15 ,513 ,8 ,511 ,50 ,1 ,0 ,511 ,50 ,519 ,5 ,`,`
18,Raio Arcano,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Dispare um raio que penetra todos os objetos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Raio Arcano em 50% @ Reduza a recarga de Raio Arcano em 5%,<color=#FFFFFF>,《Aumente o dano de Raio Arcano em 20% @ Aumente o número de Raios Arcanos em 1》^《Aumente o dano de Raio Arcano em 20% @ Aumente o número de Raios Arcanos em 1》^《Aumente o dano de Raio Arcano em 20% @ Aumente o número de Raios Arcanos em 1》^《Aumente o dano de Raio Arcano em 20% @ Aumente o número de Raios Arcanos em 1》^《Aumente o dano de Raio Arcano em 20% @ Aumente o número de Raios Arcanos em 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,531 ,20 ,533 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,531 ,50 ,542 ,5 ,`,`
19,Círculo Mágico,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,{Amplifique} [ataque] por um certo tempo.,<color=#EB96FF>,(Base de efeito de amplificação: 20%),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Aumente o efeito de Círculo Mágico em 5% @ Aumente a duração de Círculo Mágico em 20%》^《Aumente o efeito de Círculo Mágico em 5% @ Aumente a duração de Círculo Mágico em 20%》^《Aumente o efeito de Círculo Mágico em 5% @ Aumente a duração de Círculo Mágico em 20%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19 ,1 ,561 ,5 ,563 ,20 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
20,Zona de Lava,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crie uma Zona de Lava que causa dano contínuo aos inimigos por um certo tempo.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Zona de Lava em 50% @ Reduza a recarga de Zona de Lava em 5%,<color=#FFFFFF>,《Aumente o número de Zonas de Lava em 1》^《Aumente o dano de Zona de Lava em 50%》^《Aumente o tamanho de Zona de Lava em 20%》^《Aumente o número de Zonas de Lava em 1》^《Aumente o dano de Zona de Lava em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20 ,1 ,583 ,1 ,581 ,50 ,587 ,20 ,583 ,1 ,581 ,50 ,1 ,0 ,581 ,50 ,590 ,5 ,`,`
21,Choque Luminoso,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crie um clarão que se move na direção em que o personagem está se movendo e causa dano aos inimigos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Choque Luminoso em 50% @ Reduza a recarga de Choque Luminoso em 5%,<color=#FFFFFF>,《Aumente o tamanho de Choque Luminoso em 15%》^《Aumente o dano de Choque Luminoso em 50%》^《Aumente o tamanho de Choque Luminoso em 15%》^《Reduza a recarga de Choque Luminoso em 20%》^《Aumente o dano de Choque Luminoso em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-21 ,1 ,606 ,15 ,601 ,50 ,606 ,15 ,609 ,20 ,601 ,50 ,1 ,0 ,601 ,50 ,609 ,5 ,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
30,Magia avançada,패시브,1 ,0 ,0 ,0 ,0 ,3 ,30 ,<color=#EBEBEB>,Aumente todo o dano de [Combinação Mágica] em 〈15%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-30 ,1 ,90 ,15 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
31,Inteligência,패시브,0 ,0 ,0 ,0 ,0 ,5 ,31 ,<color=#64FF32>,Aumente o ataque em 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Aumente o ataque em 3%,1,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-31 ,1 ,4 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
32,Lançamento rápido,패시브,0 ,0 ,0 ,0 ,0 ,3 ,32 ,<color=#64FF32>,Reduza toda a recarga mágica em 5%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Reduza toda a recarga mágica em 1%,1,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-32 ,1 ,6 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
33,Vitalidade,패시브,0 ,0 ,0 ,0 ,0 ,5 ,33 ,<color=#64FF32>,Aumente a vida máx. em 20%,<color=#64FF32>,Aumente a recuperação de vida de Orbe de Vida em 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Aumente a vida máx. em 10%,1,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-33 ,1 ,20 ,20 ,36 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
34,Pressa,패시브,0 ,0 ,0 ,0 ,0 ,2 ,34 ,<color=#64FF32>,Aumente a velocidade de movimento em 10%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Aumente a velocidade de movimento em 2%,1,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-34 ,1 ,30 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
35,Efusão Arcana,패시브,0 ,0 ,0 ,0 ,0 ,3 ,35 ,<color=#64FF32>,Aumente todo o tamanho da magia em 5%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#64FF32>,Aumente todo o tamanho da magia em 2%,1,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,-35 ,1 ,8 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
